#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_008261.1	38520	39395	-	29571644	-	CPF_RS00165	WP_011590034.1	291	DegV family protein
chr	NC_008261.1	39832	40971	+	29569883	-	CPF_RS00175	WP_011590035.1	379	DUF1887 domain-containing protein
chr	NC_008261.1	41086	41970	-	29571624	-	CPF_RS00180	WP_011590036.1	294	phosphatidylserine decarboxylase proenzyme
chr	NC_008261.1	42133	42702	+	29571890	-	CPF_RS00185	WP_011009579.1	189	TetR/AcrR family transcriptional regulator
chr	NC_008261.1	42977	44242	+	29569864	-	CPF_RS00195	WP_011590037.1	421	HlyC/CorC family transporter
chr	NC_008261.1	44245	44676	+	29569874	-	CPF_RS00200	WP_003450857.1	143	nucleoside deaminase
chr	NC_008261.1	44739	45197	+	29569856	-	CPF_RS00205	WP_003450846.1	152	hypothetical protein
chr	NC_008261.1	45310	45675	+	29569859	-	CPF_RS00210	WP_003450965.1	121	DUF2809 domain-containing protein
chr	NC_008261.1	45785	46447	+	29571860	-	CPF_RS00215	WP_003458203.1	220	hypothetical protein
chr	NC_008261.1	46559	48031	-	29569876	-	CPF_RS00220	WP_011590040.1	490	SELO family protein
chr	NC_008261.1	48363	49559	+	29569865	-	CPF_RS00225	WP_011590041.1	398	phospholipase C
chr	NC_008261.1	49747	50673	+	29569910	-	CPF_RS00230	WP_003458162.1	308	GTP-binding protein
chr	NC_008261.1	50693	51277	+	29569878	-	CPF_RS00235	WP_011590042.1	194	hypothetical protein
chr	NC_008261.1	51280	52173	+	29569872	-	CPF_RS00240	WP_003468662.1	297	permease
chr	NC_008261.1	52186	52905	+	29570247	-	CPF_RS00245	WP_003468577.1	239	hypothetical protein
chr	NC_008261.1	53171	53959	+	29569885	-	CPF_RS00250	WP_003468570.1	262	diacylglyceryl transferase
chr	NC_008261.1	54732	55235	+	29570780	-	CPF_RS00260	WP_003468616.1	167	hypothetical protein
chr	NC_008261.1	55675	56961	+	29571912	-	CPF_RS00265	WP_003458178.1	428	branched-chain amino acid transport system II carrier protein
chr	NC_008261.1	57107	57592	-	29569844	-	CPF_RS00270	WP_011590043.1	161	dihydrofolate reductase
chr	NC_008261.1	57783	59426	+	29570138	-	CPF_RS00275	WP_003479629.1	547	DNA polymerase III subunit gamma/tau
chr	NC_008261.1	59538	59876	+	29570922	-	CPF_RS00280	WP_003458189.1	112	YbaB/EbfC family nucleoid-associated protein
chr	NC_008261.1	59974	60570	+	29571532	-	CPF_RS00285	WP_003450875.1	198	recombination protein RecR
chr	NC_008261.1	60796	61074	+	29572547	-	CPF_RS00290	WP_003450842.1	92	DUF2508 domain-containing protein
chr	NC_008261.1	61090	61368	+	29570836	-	CPF_RS00295	WP_003450885.1	92	pro-sigmaK processing inhibitor BofA
chr	NC_008261.1	61643	62788	+	29571002	-	CPF_RS00300	WP_011590044.1	381	hypothetical protein
chr	NC_008261.1	62939	63118	+	29569853	-	CPF_RS00305	WP_003450880.1	59	hypothetical protein
chr	NC_008261.1	63187	63369	+	29570805	-	CPF_RS00310	WP_003450908.1	60	hypothetical protein
chr	NC_008261.1	63533	64609	+	29569867	-	CPF_RS00315	WP_011590045.1	358	alanine--glyoxylate aminotransferase family protein
chr	NC_008261.1	64678	65583	+	29570462	-	CPF_RS00320	WP_011590046.1	301	3-phosphoglycerate dehydrogenase
chr	NC_008261.1	65733	66989	+	29569871	-	CPF_RS00325	WP_011590047.1	418	DUF1015 domain-containing protein
chr	NC_008261.1	67045	67740	-	29570064	-	CPF_RS00330	WP_003458181.1	231	5\'-methylthioadenosine/adenosylhomocysteine nucleosidase
chr	NC_008261.1	68118	68879	+	29569842	-	CPF_RS00335	WP_003450981.1	253	tRNA threonylcarbamoyladenosine dehydratase
chr	NC_008261.1	69170	70336	+	29569837	-	CPF_RS00340	WP_003472591.1	388	MFS transporter
chr	NC_008261.1	70361	71299	+	29572019	-	CPF_RS00345	WP_041702482.1	312	N-acetyltransferase
chr	NC_008261.1	71319	72002	+	29571075	-	CPF_RS00350	WP_003458147.1	227	deoxynucleoside kinase
chr	NC_008261.1	77726	78574	+	29570654	-	CPF_RS00375	WP_003460620.1	282	transcription antiterminator BglG
chr	NC_008261.1	78607	79086	-	29571966	-	CPF_RS00380	WP_003460618.1	159	PTS glucose transporter subunit IIA
chr	NC_008261.1	79744	81189	+	29569866	-	CPF_RS00385	WP_003460623.1	481	PTS sugar transporter subunit IIA
chr	NC_008261.1	81258	81776	-	29571873	-	CPF_RS00390	WP_003449320.1	172	TetR/AcrR family transcriptional regulator
chr	NC_008261.1	87896	89986	+	29569870	-	CPF_RS00415	WP_011590049.1	696	elongation factor G
chr	NC_008261.1	90409	90645	+	29571712	-	CPF_RS00420	WP_003449485.1	78	hypothetical protein
chr	NC_008261.1	90897	91844	+	29570414	-	CPF_RS00425	WP_003459920.1	315	ROK family protein
chr	NC_008261.1	92386	92928	+	29569861	-	CPF_RS00430	WP_003472992.1	180	NADH peroxidase
chr	NC_008261.1	93261	93884	+	29569840	-	CPF_RS00435	WP_003459940.1	207	histidine phosphatase family protein
chr	NC_008261.1	94243	95013	-	29569869	-	CPF_RS00440	WP_011590050.1	256	DeoR/GlpR transcriptional regulator
chr	NC_008261.1	95495	96649	+	29569877	-	CPF_RS00445	WP_003459942.1	384	alcohol dehydrogenase EutG
chr	NC_008261.1	96656	97501	+	29569936	-	CPF_RS00450	WP_011590051.1	281	fructose-bisphosphate aldolase
chr	NC_008261.1	97515	98531	+	29572755	-	CPF_RS00455	WP_003448561.1	338	5-dehydro-2-deoxygluconokinase
chr	NC_008261.1	98545	99312	+	29570907	-	CPF_RS00460	WP_011590052.1	255	5-deoxy-glucuronate isomerase
chr	NC_008261.1	99329	101248	+	29572329	-	CPF_RS00465	WP_003459928.1	639	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
chr	NC_008261.1	101324	102325	+	29569850	-	CPF_RS00470	WP_003459931.1	333	inositol 2-dehydrogenase
chr	NC_008261.1	102444	103337	+	29570825	-	CPF_RS00475	WP_003459953.1	297	myo-inosose-2 dehydratase
chr	NC_008261.1	103419	105008	+	29571615	-	CPF_RS00480	WP_003448574.1	529	solute:sodium symporter family transporter
chr	NC_008261.1	105096	106145	+	29569868	-	CPF_RS00485	WP_003459929.1	349	myo-inositol 2-dehydrogenase
chr	NC_008261.1	106517	107275	+	29569862	-	CPF_RS00490	WP_003459947.1	252	formate/nitrite transporter family protein
chr	NC_008261.1	107507	108283	+	29571477	-	CPF_RS00495	WP_003448562.1	258	crotonase
chr	NC_008261.1	108386	109936	+	29569843	-	CPF_RS00500	WP_003459955.1	516	CoA-transferase
chr	NC_008261.1	110040	111176	+	29571437	-	CPF_RS00505	WP_011590053.1	378	acyl-CoA dehydrogenase
chr	NC_008261.1	111587	111937	-	29569882	-	CPF_RS00510	WP_003459957.1	116	hypothetical protein
chr	NC_008261.1	112515	113645	+	29571033	gldA	CPF_RS00515	WP_003448555.1	376	glycerol dehydrogenase
chr	NC_008261.1	113671	115419	+	31474548	-	CPF_RS14705	WP_011590054.1	582	dihydroxyacetone kinase subunit DhaK
chr	NC_008261.1	115780	117213	+	29572383	-	CPF_RS00525	WP_011590055.1	477	MFS transporter
chr	NC_008261.1	117490	117762	+	29569857	-	CPF_RS00530	WP_003448587.1	90	hypothetical protein
chr	NC_008261.1	118161	119114	-	29572480	-	CPF_RS00535	WP_003448546.1	317	L-lactate dehydrogenase
chr	NC_008261.1	119740	120915	+	29569852	-	CPF_RS00540	WP_003459938.1	391	hypothetical protein
chr	NC_008261.1	121058	121474	+	29570075	-	CPF_RS00545	WP_003459948.1	138	hypothetical protein
chr	NC_008261.1	121682	122422	+	29569875	-	CPF_RS00550	WP_011590057.1	246	DUF975 domain-containing protein
chr	NC_008261.1	122534	123406	+	29572025	-	CPF_RS00555	WP_003479507.1	290	DUF975 domain-containing protein
chr	NC_008261.1	123542	124864	-	29569847	-	CPF_RS00560	WP_011590058.1	440	GTP-binding protein
chr	NC_008261.1	125634	125918	-	29570770	-	CPF_RS00565	WP_003448604.1	94	hypothetical protein
chr	NC_008261.1	126740	128161	-	29570216	-	CPF_RS00570	WP_011590060.1	473	[FeFe] hydrogenase H-cluster radical SAM maturase HydG [Clostridium perfringens]
chr	NC_008261.1	128267	128518	-	29572117	-	CPF_RS00575	WP_003448558.1	83	CopG family transcriptional regulator
chr	NC_008261.1	128962	130527	+	29572766	-	CPF_RS00580	WP_011590061.1	521	DUF1002 domain-containing protein
chr	NC_008261.1	130674	130901	+	29572765	-	CPF_RS00585	WP_003448542.1	75	DUF1659 domain-containing protein
chr	NC_008261.1	131194	131418	+	29572764	-	CPF_RS00590	WP_003448590.1	74	DUF2922 domain-containing protein
chr	NC_008261.1	131476	132417	-	29572763	-	CPF_RS00595	WP_041702494.1	313	N-acetylmuramoyl-L-alanine amidase
chr	NC_008261.1	132430	133599	-	29572762	-	CPF_RS00600	WP_011590063.1	389	hypothetical protein
chr	NC_008261.1	133611	134861	-	29572761	-	CPF_RS00605	WP_003475319.1	416	hypothetical protein, partial
chr	NC_008261.1	134977	135777	+	29572760	-	CPF_RS00610	WP_003479487.1	266	zinc ribbon domain-containing protein
chr	NC_008261.1	135917	136597	+	29572759	-	CPF_RS00615	WP_011590064.1	226	DNA-binding response regulator
chr	NC_008261.1	136594	137607	+	29572758	-	CPF_RS00620	WP_011590065.1	337	sensor histidine kinase
chr	NC_008261.1	137659	137856	+	29572757	-	CPF_RS00625	WP_011590066.1	65	hypothetical protein
chr	NC_008261.1	138387	139157	+	29572756	-	CPF_RS00630	WP_003448577.1	256	ABC transporter ATP-binding protein
chr	NC_008261.1	139147	141174	+	29572754	-	CPF_RS00635	WP_011590067.1	675	ABC transporter permease
chr	NC_008261.1	141583	142152	-	29572753	-	CPF_RS00640	WP_011590068.1	189	hypothetical protein
chr	NC_008261.1	142244	142456	+	29572752	-	CPF_RS00645	WP_011590069.1	70	hypothetical protein
chr	NC_008261.1	142898	147187	+	29572751	-	CPF_RS00650	WP_011590070.1	1429	hypothetical protein
chr	NC_008261.1	147208	149112	+	29572750	-	CPF_RS00655	WP_011590071.1	634	hypothetical protein
chr	NC_008261.1	149168	150046	+	29572749	-	CPF_RS00660	WP_011590072.1	292	class C sortase
chr	NC_008261.1	150467	150793	+	29572748	-	CPF_RS00665	WP_003448594.1	108	hypothetical protein
chr	NC_008261.1	151037	152053	+	29572747	-	CPF_RS00670	WP_003479478.1	338	C4-dicarboxylate ABC transporter
chr	NC_008261.1	152568	153587	+	29572746	-	CPF_RS00675	WP_003472801.1	339	putative sulfate exporter family transporter
chr	NC_008261.1	154296	155189	-	29572745	-	CPF_RS00680	WP_003467780.1	297	EamA/RhaT family transporter
chr	NC_008261.1	155518	156756	+	29572744	-	CPF_RS00685	WP_004459640.1	412	damage-inducible protein CinA
chr	NC_008261.1	157407	158333	+	29572743	-	CPF_RS00690	WP_003457488.1	308	CPBP family intramembrane metalloprotease domain-containing protein
chr	NC_008261.1	159162	159749	+	29572742	-	CPF_RS00695	WP_003448599.1	195	rubrerythrin
chr	NC_008261.1	159913	160458	-	29572741	-	CPF_RS00700	WP_003457557.1	181	hypothetical protein
chr	NC_008261.1	161277	162833	+	29572740	-	CPF_RS00705	WP_011590074.1	518	ABC transporter ATP-binding protein
chr	NC_008261.1	162871	163032	-	29572739	-	CPF_RS00710	WP_011590075.1	53	ribbon-helix-helix domain-containing protein
chr	NC_008261.1	163213	164763	+	29572738	-	CPF_RS00715	WP_011590076.1	516	serine recombinase
chr	NC_008261.1	165074	166159	+	29572737	-	CPF_RS00720	WP_011590077.1	361	DNA (cytosine-5-)-methyltransferase
chr	NC_008261.1	166247	167071	+	29572736	-	CPF_RS00725	WP_011590078.1	274	TdeIII family type II restriction endonuclease
chr	NC_008261.1	167148	167462	+	29572735	-	CPF_RS00730	WP_011590079.1	104	hypothetical protein
chr	NC_008261.1	167722	167946	+	29572734	-	CPF_RS00735	WP_041702502.1	74	hypothetical protein
chr	NC_008261.1	168292	169326	+	29572733	-	CPF_RS00740	WP_011590081.1	344	ATP-binding protein
chr	NC_008261.1	169590	170042	+	29572732	-	CPF_RS00745	WP_011590082.1	150	hypothetical protein
chr	NC_008261.1	170504	171064	+	29572731	-	CPF_RS00750	WP_011590083.1	186	RNA 2\'-phosphotransferase
chr	NC_008261.1	171485	173662	+	29572730	-	CPF_RS00755	WP_011590084.1	725	cell wall surface anchor protein
chr	NC_008261.1	173666	175234	+	29572729	-	CPF_RS00760	WP_011590085.1	522	surface protein
chr	NC_008261.1	175727	176482	+	29572728	-	CPF_RS00765	WP_080503681.1	251	class C sortase
chr	NC_008261.1	176551	177462	+	29572727	-	CPF_RS00770	WP_003457567.1	303	DUF2935 domain-containing protein
chr	NC_008261.1	177937	178614	+	29572726	-	CPF_RS00775	WP_003452651.1	225	TVP38/TMEM64 family protein
chr	NC_008261.1	178898	179554	+	29572725	-	CPF_RS00780	WP_011590087.1	218	DUF4352 domain-containing protein
chr	NC_008261.1	179631	180182	+	29572724	-	CPF_RS00785	WP_003467749.1	183	DUF1768 domain-containing protein
chr	NC_008261.1	180384	181850	-	29572723	-	CPF_RS00790	WP_003467662.1	488	hypothetical protein
chr	NC_008261.1	182521	183552	+	29572722	-	CPF_RS00795	WP_003471996.1	343	PTS sugar transporter subunit IIC
chr	NC_008261.1	184140	185642	+	29572721	-	CPF_RS00800	WP_003462918.1	500	thiol-activated toxin perfringolysin O
chr	NC_008261.1	185837	186295	+	29572720	-	CPF_RS00805	WP_003452597.1	152	hypothetical protein
chr	NC_008261.1	186367	186585	+	31474549	-	CPF_RS14710	WP_011590089.1	72	hypothetical protein
chr	NC_008261.1	187354	188841	+	29572719	-	CPF_RS00810	WP_011590090.1	495	amino acid permease
chr	NC_008261.1	189000	191069	+	29572718	-	CPF_RS00815	WP_011590091.1	689	beta-galactosidase Pbg
chr	NC_008261.1	191622	192863	+	29572717	-	CPF_RS00820	WP_003462829.1	413	arginine deiminase
chr	NC_008261.1	192972	193967	+	29572716	-	CPF_RS00825	WP_003462779.1	331	ornithine carbamoyltransferase
chr	NC_008261.1	194112	195548	+	29572715	-	CPF_RS00830	WP_011009652.1	478	arginine:ornithine antiporter
chr	NC_008261.1	195609	196553	+	29572714	-	CPF_RS00835	WP_003462795.1	314	carbamate kinase
chr	NC_008261.1	196626	197081	+	29572713	-	CPF_RS00840	WP_003457490.1	151	arginine regulator
chr	NC_008261.1	197623	200937	+	29572712	-	CPF_RS00845	WP_011590092.1	1104	collagenase
chr	NC_008261.1	201085	201543	-	29572711	-	CPF_RS00850	WP_003471963.1	152	large conductance mechanosensitive channel protein MscL
chr	NC_008261.1	202287	202910	+	29572710	-	CPF_RS00855	WP_011590093.1	207	SAM-dependent methyltransferase
chr	NC_008261.1	202974	204128	+	29572709	-	CPF_RS00860	WP_011590094.1	384	cystathionine gamma-synthase
chr	NC_008261.1	204115	205023	+	29572708	-	CPF_RS00865	WP_003467727.1	302	cysteine synthase
chr	NC_008261.1	205108	205563	+	29572707	-	CPF_RS00870	WP_011590095.1	151	S-ribosylhomocysteine lyase
chr	NC_008261.1	205912	206886	+	29572706	-	CPF_RS00875	WP_003457505.1	324	alpha/beta hydrolase
chr	NC_008261.1	207270	208061	-	29572705	-	CPF_RS00880	WP_003457473.1	263	multidrug ABC transporter permease
chr	NC_008261.1	208066	208884	-	29572704	-	CPF_RS00885	WP_003457462.1	272	membrane protein
chr	NC_008261.1	208887	209912	-	29572703	-	CPF_RS00890	WP_003457575.1	341	sugar ABC transporter ATP-binding protein
chr	NC_008261.1	210223	210891	+	29572702	-	CPF_RS00895	WP_003457494.1	222	NAD(P)H-dependent oxidoreductase
chr	NC_008261.1	211176	211841	+	29572701	-	CPF_RS00900	WP_003452659.1	221	N-acetylmannosamine-6-phosphate 2-epimerase
chr	NC_008261.1	211878	212744	+	29572700	-	CPF_RS00905	WP_003457546.1	288	N-acetylneuraminate lyase
chr	NC_008261.1	212848	214365	+	29572699	-	CPF_RS00910	WP_003457485.1	505	sodium:solute symporter
chr	NC_008261.1	214476	214928	+	29572698	-	CPF_RS00915	WP_003457506.1	150	YhcH/YjgK/YiaL family protein
chr	NC_008261.1	215084	215971	+	29572697	-	CPF_RS00920	WP_003457583.1	295	ROK family protein
chr	NC_008261.1	216162	217001	+	29572696	-	CPF_RS00925	WP_003457572.1	279	MurR/RpiR family transcriptional regulator
chr	NC_008261.1	217188	217577	-	29572695	-	CPF_RS00930	WP_003479965.1	129	hypothetical protein
chr	NC_008261.1	217840	222723	+	29572694	-	CPF_RS00935	WP_011590096.1	1627	hyaluronoglucosaminidase
chr	NC_008261.1	223602	224345	+	29572693	-	CPF_RS00940	WP_003457455.1	247	energy-coupling factor ABC transporter permease
chr	NC_008261.1	224345	224656	+	29572692	-	CPF_RS00945	WP_003452599.1	103	cobalt transporter CbiN
chr	NC_008261.1	224640	225410	+	29572691	-	CPF_RS00950	WP_003457600.1	256	cobalt ECF transporter T component CbiQ
chr	NC_008261.1	225425	226282	+	29572690	-	CPF_RS00955	WP_003457507.1	285	energy-coupling factor transporter ATP-binding protein EcfA3
chr	NC_008261.1	226838	227035	+	29572689	-	CPF_RS00960	WP_003457595.1	65	hypothetical protein
chr	NC_008261.1	227239	228102	-	29572688	-	CPF_RS00965	WP_003457483.1	287	5\'-nucleotidase, lipoprotein e(P4) family
chr	NC_008261.1	228325	229524	-	29572687	-	CPF_RS00970	WP_011590097.1	399	peptidase M23
chr	NC_008261.1	230210	230866	+	29572686	-	CPF_RS00975	WP_003457542.1	218	hypothetical protein
chr	NC_008261.1	236809	237438	+	29572681	-	CPF_RS01000	WP_003458283.1	209	hypothetical protein
chr	NC_008261.1	237945	238214	+	29572680	-	CPF_RS01005	WP_003458296.1	89	hypothetical protein
chr	NC_008261.1	239039	239089	+	31474550	-	CPF_RS14715	WP_078209989.1	16	hypothetical protein
chr	NC_008261.1	239731	240312	+	29572679	-	CPF_RS01010	WP_003458357.1	193	hypothetical protein
chr	NC_008261.1	240450	242825	-	29572678	-	CPF_RS01015	WP_003458291.1	791	PAS domain-containing sensor histidine kinase
chr	NC_008261.1	243192	244250	+	29572677	-	CPF_RS01020	WP_003458257.1	352	acyltransferase
chr	NC_008261.1	244351	244578	+	29572675	-	CPF_RS01025	WP_003458280.1	75	hypothetical protein
chr	NC_008261.1	244718	245599	+	29572674	-	CPF_RS01030	WP_011590099.1	293	hypothetical protein
chr	NC_008261.1	245627	247825	+	29572673	-	CPF_RS01035	WP_041702516.1	732	hypothetical protein
chr	NC_008261.1	248306	249076	+	29572672	-	CPF_RS01040	WP_003458282.1	256	hypothetical protein
chr	NC_008261.1	249255	250070	-	29572671	-	CPF_RS01045	WP_003458319.1	271	mechanosensitive ion channel protein MscS
chr	NC_008261.1	250644	251288	-	29572670	-	CPF_RS01050	WP_003458341.1	214	biliverdin-producing heme oxygenase
chr	NC_008261.1	251689	252912	+	29572669	-	CPF_RS01055	WP_003458260.1	407	exonuclease sbcCD subunit D
chr	NC_008261.1	252899	256417	+	29572668	-	CPF_RS01060	WP_011590101.1	1172	exonuclease SbcC
chr	NC_008261.1	256823	258019	+	29572667	-	CPF_RS01065	WP_003458278.1	398	acetate kinase
chr	NC_008261.1	258066	258824	-	29572666	-	CPF_RS01070	WP_003464291.1	252	AraC family transcriptional regulator
chr	NC_008261.1	258971	261202	+	29572665	-	CPF_RS01075	WP_011590102.1	743	cell wall anchor domain-containing protein
chr	NC_008261.1	261265	261912	+	29572664	-	CPF_RS01080	WP_003458334.1	215	iron transporter
chr	NC_008261.1	261914	262477	+	29572663	-	CPF_RS01085	WP_003458327.1	187	class D sortase
chr	NC_008261.1	262491	263378	+	29572662	-	CPF_RS01090	WP_003458265.1	295	heme ABC transporter substrate-binding protein IsdE
chr	NC_008261.1	263365	264351	+	29572661	-	CPF_RS01095	WP_003458270.1	328	iron ABC transporter permease
chr	NC_008261.1	264352	265131	+	29572660	-	CPF_RS01100	WP_011009683.1	259	ABC transporter ATP-binding protein
chr	NC_008261.1	265173	266900	+	29572659	-	CPF_RS01105	WP_011590103.1	575	cysteine ABC transporter ATP-binding protein
chr	NC_008261.1	266901	268589	+	29572658	-	CPF_RS01110	WP_011009685.1	562	ABC transporter ATP-binding protein
chr	NC_008261.1	268576	268971	+	29572657	-	CPF_RS01115	WP_003458262.1	131	DUF454 domain-containing protein
chr	NC_008261.1	268955	269251	+	29572656	-	CPF_RS01120	WP_003458317.1	98	hypothetical protein
chr	NC_008261.1	269379	269564	+	29572655	-	CPF_RS01125	WP_003458360.1	61	(2Fe-2S)-binding protein
chr	NC_008261.1	269876	271321	+	29572654	-	CPF_RS01130	WP_011590105.1	481	arylsulfatase
chr	NC_008261.1	271479	272816	-	29572653	-	CPF_RS01135	WP_003458294.1	445	MFS transporter
chr	NC_008261.1	273017	274036	-	29572652	-	CPF_RS01140	WP_011590106.1	339	iron ABC transporter
chr	NC_008261.1	274017	274805	-	29572651	-	CPF_RS01145	WP_003458381.1	262	DUF3919 domain-containing protein
chr	NC_008261.1	274798	276228	-	29572650	-	CPF_RS01150	WP_003458297.1	476	sensor histidine kinase
chr	NC_008261.1	276218	276889	-	29572649	-	CPF_RS01155	WP_003458350.1	223	DNA-binding response regulator
chr	NC_008261.1	277181	278380	+	29572648	-	CPF_RS01160	WP_003458362.1	399	cation:proton antiporter
chr	NC_008261.1	278633	279160	+	29572647	-	CPF_RS01165	WP_003458267.1	175	hypothetical protein
chr	NC_008261.1	279534	280310	+	29572645	-	CPF_RS01175	WP_003458253.1	258	hypothetical protein
chr	NC_008261.1	280728	282158	+	29572644	-	CPF_RS01180	WP_011590107.1	476	hypothetical protein
chr	NC_008261.1	282161	282853	+	29572643	-	CPF_RS01185	WP_003458366.1	230	hypothetical protein
chr	NC_008261.1	282910	283785	-	29572642	-	CPF_RS01190	WP_011590108.1	291	decaprenyl-phosphate phosphoribosyltransferase
chr	NC_008261.1	283778	284968	-	29572641	-	CPF_RS01195	WP_041702522.1	396	membrane protein
chr	NC_008261.1	285401	285733	-	29572640	-	CPF_RS01200	WP_003458293.1	110	multidrug transporter
chr	NC_008261.1	285726	286064	-	29572639	-	CPF_RS01205	WP_003479574.1	112	membrane protein
chr	NC_008261.1	286074	286709	-	29572638	-	CPF_RS01210	WP_003458365.1	211	HAD-IB family hydrolase
chr	NC_008261.1	287113	289440	-	29572637	-	CPF_RS01215	WP_011590110.1	775	GGDEF-domain containing protein
chr	NC_008261.1	289694	290962	+	29572636	-	CPF_RS01220	WP_003458361.1	422	molecular chaperone DnaJ
chr	NC_008261.1	290980	291582	+	29572635	-	CPF_RS01225	WP_003458364.1	200	nucleotide exchange factor GrpE
chr	NC_008261.1	291570	293297	+	29572634	-	CPF_RS01230	WP_003458288.1	575	molecular chaperone DnaK
chr	NC_008261.1	293315	294049	+	29572633	-	CPF_RS01235	WP_003458339.1	244	hypothetical protein
chr	NC_008261.1	294321	295094	+	29572632	-	CPF_RS01240	WP_003458363.1	257	capsular polysaccharide biosynthesis protein
chr	NC_008261.1	295409	296731	+	29572631	-	CPF_RS01245	WP_011590111.1	440	phosphoserine phosphatase
chr	NC_008261.1	296804	297250	-	29572630	-	CPF_RS01250	WP_041702525.1	148	hypothetical protein
chr	NC_008261.1	297388	297573	+	29572629	-	CPF_RS01255	WP_003458368.1	61	hypothetical protein
chr	NC_008261.1	297586	297834	+	29572628	-	CPF_RS01260	WP_003458352.1	82	spore coat protein
chr	NC_008261.1	297919	298233	-	29572627	-	CPF_RS01265	WP_003472376.1	104	hypothetical protein
chr	NC_008261.1	298370	299101	-	29572626	-	CPF_RS01270	WP_003472385.1	243	NAD-dependent protein deacylase
chr	NC_008261.1	299317	300459	+	29572625	-	CPF_RS01275	WP_003479536.1	380	hypothetical protein
chr	NC_008261.1	300718	301332	+	29572624	-	CPF_RS01280	WP_011590113.1	204	sugar O-acetyltransferase
chr	NC_008261.1	301552	302058	+	29572623	-	CPF_RS01285	WP_003464290.1	168	CarD family transcriptional regulator
chr	NC_008261.1	302242	303378	+	29572622	-	CPF_RS01290	WP_011590115.1	378	mechanosensitive ion channel family protein
chr	NC_008261.1	303375	303998	+	29572621	-	CPF_RS01295	WP_011590116.1	207	copper homeostasis protein CutC
chr	NC_008261.1	304362	304574	+	29572620	-	CPF_RS01300	WP_003464293.1	70	hypothetical protein
chr	NC_008261.1	304695	306005	-	29572619	-	CPF_RS01305	WP_004458058.1	436	DUF1576 domain-containing protein
chr	NC_008261.1	306226	306522	-	29572618	-	CPF_RS01310	WP_003464244.1	98	hypothetical protein
chr	NC_008261.1	306730	307407	-	29572617	-	CPF_RS01315	WP_004458079.1	225	uracil-DNA glycosylase
chr	NC_008261.1	307745	310282	+	29572616	-	CPF_RS01320	WP_003468707.1	845	beta-hexosaminidase
chr	NC_008261.1	316026	316493	-	29572611	-	CPF_RS01345	WP_003470229.1	155	peroxiredoxin
