#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_010287.1	56560	57408	-	5858656	tsf	CTL0048	YP_001654139.1	282	-	elongation factor Ts
chr	NC_010287.1	57405	58253	-	5858829	rpsB	CTL0049	YP_001654140.1	282	-	30S ribosomal protein S2
chr	NC_010287.1	58637	59821	-	5858320	ompA	CTL0050	YP_001654141.1	394	-	major outer membrane porin
chr	NC_010287.1	60428	63670	+	5858500	pbpB	CTL0051	YP_001654142.1	1080	-	penicillin-binding protein
chr	NC_010287.1	63734	64741	+	5857981	-	CTL0052	YP_001654143.1	335	-	hypothetical protein CTL0052
chr	NC_010287.1	65083	66534	+	5858825	-	CTL0053	YP_001654144.1	483	-	cysteine desulfurase activator complex subunit SufB
chr	NC_010287.1	66537	67304	+	5858763	-	CTL0054	YP_001654145.1	255	-	FeS assembly ABC transporter ATP-binding protein SufC
chr	NC_010287.1	67308	68495	+	5858055	-	CTL0055	YP_001654146.1	395	-	FeS assembly protein SufD
chr	NC_010287.1	68488	69693	+	5858054	sufS	CTL0056	YP_001654147.1	401	-	cysteine desulfurase
chr	NC_010287.1	69829	70674	+	5858632	parB	CTL0057	YP_001654148.1	281	-	chromosome partitioning protein ParB
chr	NC_010287.1	70666	71496	-	5858431	dppF	CTL0058	YP_001654149.1	276	-	oligopeptide ABC transporter ATP-binding protein
chr	NC_010287.1	71489	72454	-	5858660	dppD	CTL0059	YP_001654150.1	321	-	oligopeptide ABC transporter ATP-binding protein
chr	NC_010287.1	72615	73289	+	5858521	-	CTL0060	YP_001654151.1	224	-	hypothetical protein CTL0060
chr	NC_010287.1	73292	74572	+	5858053	-	CTL0061	YP_001654152.1	426	-	phosphate permease
chr	NC_010287.1	74711	75922	+	5858720	pgk	CTL0062	YP_001654153.1	403	-	phosphoglycerate kinase
chr	NC_010287.1	76182	77150	+	5858442	-	CTL0063	YP_001654154.1	322	-	hypothetical protein CTL0063
chr	NC_010287.1	77201	78397	+	5858128	-	CTL0064	YP_001654155.1	398	-	hypothetical protein CTL0064
chr	NC_010287.1	78483	79661	+	5857976	-	CTL0065	YP_001654156.1	392	-	hypothetical protein CTL0065
chr	NC_010287.1	79658	80293	-	5857958	nth	CTL0066	YP_001654157.1	211	-	endonuclease III
chr	NC_010287.1	80300	81634	-	5858796	trmE	CTL0067	YP_001654158.1	444	-	tRNA modification GTPase
chr	NC_010287.1	81902	82807	+	5858418	psdD	CTL0068	YP_001654159.1	301	-	phosphatidylserine decarboxylase
chr	NC_010287.1	82872	84197	+	5858532	-	CTL0069	YP_001654160.1	441	-	hypothetical protein CTL0069
chr	NC_010287.1	84456	87365	+	5857962	secA	CTL0070	YP_001654161.1	969	-	preprotein translocase subunit SecA
chr	NC_010287.1	87459	87986	-	5858249	-	CTL0071	YP_001654162.1	175	-	hypothetical protein CTL0071
chr	NC_010287.1	88063	89535	-	5857964	engA	CTL0072	YP_001654163.1	490	-	GTPase Der
chr	NC_010287.1	89651	90883	-	5857984	pcnB	CTL0073	YP_001654164.1	410	-	poly A polymerase
chr	NC_010287.1	90898	92157	-	5858594	clpX	CTL0074	YP_001654165.1	419	-	ATP-dependent Clp protease ATP-binding subunit ClpX
chr	NC_010287.1	92167	92778	-	5858739	clpP	CTL0075	YP_001654166.1	203	-	ATP-dependent Clp protease proteolytic subunit
chr	NC_010287.1	92945	94273	-	5858454	tig	CTL0076	YP_001654167.1	442	-	trigger factor
chr	NC_010287.1	94632	98123	+	5858311	-	CTL0077	YP_001654168.1	1163	-	helicase
chr	NC_010287.1	98128	99228	+	5858075	mreB	CTL0078	YP_001654169.1	366	-	rod shape-determining protein MreB
chr	NC_010287.1	99225	101024	+	5858756	pckA	CTL0079	YP_001654170.1	599	-	phosphoenolpyruvate carboxykinase
chr	NC_010287.1	101136	103439	+	5858432	-	CTL0080	YP_001654171.1	767	-	hypothetical protein CTL0080
chr	NC_010287.1	103466	104638	+	5857969	-	CTL0081	YP_001654172.1	390	-	type III secretion system effector protein
chr	NC_010287.1	104704	105726	-	5858130	ompB	CTL0082	YP_001654173.1	340	-	outer membrane protein B
chr	NC_010287.1	105860	106864	-	5858505	gpsA	CTL0083	YP_001654174.1	334	-	glycerol-3-phosphate dehydrogenase
chr	NC_010287.1	106861	108228	-	5858036	-	CTL0084	YP_001654175.1	455	-	UDP-N-acetylglucosamine pyrophosphorylase
chr	NC_010287.1	108240	108605	-	5858106	-	CTL0085	YP_001654176.1	121	-	hypothetical protein CTL0085
chr	NC_010287.1	108598	109902	-	5858754	fliI	CTL0086	YP_001654177.1	434	-	type III secretion system ATP synthase
chr	NC_010287.1	109976	110500	-	5858083	-	CTL0087	YP_001654178.1	174	-	hypothetical protein CTL0087
chr	NC_010287.1	110505	111509	-	5857963	fliF	CTL0088	YP_001654179.1	334	-	type III secretion system protein
chr	NC_010287.1	111783	112565	-	5858033	-	CTL0089	YP_001654180.1	260	-	hypothetical protein CTL0089
chr	NC_010287.1	112562	113716	-	5858089	-	CTL0090	YP_001654181.1	384	-	aminotransferase
chr	NC_010287.1	113671	114351	-	5858631	pgmA	CTL0091	YP_001654182.1	226	-	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
chr	NC_010287.1	114646	115371	+	5858449	-	CTL0092	YP_001654183.1	241	-	RNA pseudouridine synthase
chr	NC_010287.1	115490	116014	+	5857959	-	CTL0093	YP_001654184.1	174	-	hypothetical protein CTL0093
chr	NC_010287.1	116041	116595	+	5858090	birA	CTL0094	YP_001654185.1	184	-	biotin--protein ligase
chr	NC_010287.1	116602	117741	-	5858029	-	CTL0095	YP_001654186.1	379	-	cell division protein
chr	NC_010287.1	117833	119812	-	5858085	-	CTL0096	YP_001654187.1	659	-	metal transporting ATPase
chr	NC_010287.1	119836	120582	-	5858773	-	CTL0097	YP_001654188.1	248	-	hypothetical protein CTL0097
chr	NC_010287.1	120619	121905	-	5857961	serS	CTL0098	YP_001654189.1	428	-	serine--tRNA ligase
chr	NC_010287.1	121947	123074	+	5858243	ribD	CTL0099	YP_001654190.1	375	-	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
chr	NC_010287.1	123184	124458	+	5858517	ribA	CTL0100	YP_001654191.1	424	-	bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II
chr	NC_010287.1	124427	124900	+	5858575	ribH	CTL0101	YP_001654192.1	157	-	6,7-dimethyl-8-ribityllumazine synthase
chr	NC_010287.1	124951	126297	-	5858555	-	CTL0102	YP_001654193.1	448	-	hypothetical protein CTL0102
chr	NC_010287.1	126682	127347	+	5858734	-	CTL0103	YP_001654194.1	221	-	lipoprotein
chr	NC_010287.1	127452	128819	+	5858724	dagA	CTL0104	YP_001654195.1	455	-	Na+/alanine symporter
chr	NC_010287.1	128877	129329	+	5858434	-	CTL0105	YP_001654196.1	150	-	hypothetical protein CTL0105
chr	NC_010287.1	129338	129997	-	5858088	-	CTL0106	YP_001654197.1	219	-	hypothetical protein CTL0106
chr	NC_010287.1	129994	130782	-	5858459	-	CTL0107	YP_001654198.1	262	-	Zn-dependent hydrolase
chr	NC_010287.1	130786	133185	-	5858134	ftsK	CTL0108	YP_001654199.1	799	-	DNA translocase FtsK
chr	NC_010287.1	139457	140752	-	5858486	dmpP	CTL0109	YP_001654200.1	431	-	Na(+)-translocating NADH-quinone reductase subunit F
chr	NC_010287.1	140895	141239	-	5858687	yajC	CTL0110	YP_001654201.1	114	-	preprotein translocase subunit YajC
chr	NC_010287.1	141344	142534	-	5858071	-	CTL0111	YP_001654202.1	396	-	RNA methyltransferase
chr	NC_010287.1	142722	143099	-	5858703	hctA	CTL0112	YP_001654203.1	125	-	histone H1-like protein
chr	NC_010287.1	143495	145963	+	5858678	-	CTL0113	YP_001654204.1	822	-	hypothetical protein CTL0113
chr	NC_010287.1	145955	147229	-	5858215	hemG	CTL0114	YP_001654205.1	424	-	protoporphyrinogen oxidase
chr	NC_010287.1	147226	148599	-	5858133	hemN	CTL0115	YP_001654206.1	457	-	coproporphyrinogen-III oxidase
chr	NC_010287.1	148572	149582	-	5858692	hemE	CTL0116	YP_001654207.1	336	-	uroporphyrinogen decarboxylase
chr	NC_010287.1	149595	152834	-	5858600	mfd	CTL0117	YP_001654208.1	1079	-	transcription-repair coupling factor
chr	NC_010287.1	152810	155437	-	5858757	alaS	CTL0118	YP_001654209.1	875	-	alanine--tRNA ligase
chr	NC_010287.1	161262	163262	+	5858645	tktB	CTL0119	YP_001654210.1	666	-	transketolase
chr	NC_010287.1	163259	164128	-	5858365	amn	CTL0120	YP_001654211.1	289	-	AMP nucleosidase
chr	NC_010287.1	164384	164920	+	5858478	efp	CTL0121	YP_001654212.1	178	-	elongation factor P
chr	NC_010287.1	164936	165160	-	5858625	-	CTL0122	YP_001654213.1	74	-	hypothetical protein CTL0122
chr	NC_010287.1	165207	166079	-	5858110	-	CTL0123	YP_001654214.1	290	-	hypothetical protein CTL0123
chr	NC_010287.1	166160	167698	-	5858068	groEL	CTL0124	YP_001654215.1	512	-	chaperonin GroEL
chr	NC_010287.1	168146	169498	+	5858336	murF	CTL0125	YP_001654216.1	450	-	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
chr	NC_010287.1	169644	170654	+	5858776	mraY	CTL0126	YP_001654217.1	336	-	phospho-N-acetylmuramoyl-pentapeptide-transferase
chr	NC_010287.1	170666	171916	+	5858642	murD	CTL0127	YP_001654218.1	416	-	UDP-N-acetylmuramoylalanine--D-glutamate ligase
chr	NC_010287.1	171913	172650	+	5858023	nlpD	CTL0128	YP_001654219.1	245	-	muramidase
chr	NC_010287.1	172666	173823	+	5858063	ftsW	CTL0129	YP_001654220.1	385	-	lipid II flippase FtsW
chr	NC_010287.1	173732	174790	+	5858462	murG	CTL0130	YP_001654221.1	352	-	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
chr	NC_010287.1	174795	177206	+	5857988	murC	CTL0131	YP_001654222.1	803	-	bifunctional UDP-N-acetylmuramate--L-alanine ligase/D-alanine--D-alanine ligase
chr	NC_010287.1	177243	177662	-	5858026	-	CTL0132	YP_001654223.1	139	-	hypothetical protein CTL0132
chr	NC_010287.1	177820	178626	-	5858069	-	CTL0133	YP_001654224.1	268	-	hypothetical protein CTL0133
chr	NC_010287.1	178780	179112	+	5858111	rbsV	CTL0134	YP_001654225.1	110	-	anti-sigma F factor antagonist
chr	NC_010287.1	179116	180135	+	5858494	miaA	CTL0135	YP_001654226.1	339	-	tRNA dimethylallyltransferase
chr	NC_010287.1	180140	181192	-	5858571	-	CTL0136	YP_001654227.1	350	-	hypothetical protein CTL0136
chr	NC_010287.1	181282	182964	+	5858060	-	CTL0137	YP_001654228.1	560	-	hypothetical protein CTL0137
chr	NC_010287.1	183418	183777	+	5858194	-	CTL0138	YP_001654229.1	119	-	ribosome silencing factor
chr	NC_010287.1	183788	185044	+	5857965	fabF	CTL0139	YP_001654230.1	418	-	3-oxoacyl-ACP synthase
chr	NC_010287.1	185041	185493	+	5858479	-	CTL0140	YP_001654231.1	150	-	hydrolase
chr	NC_010287.1	185574	186203	-	5858049	ppa	CTL0141	YP_001654232.1	209	-	inorganic pyrophosphatase
chr	NC_010287.1	186451	187491	+	5858157	ldh	CTL0142	YP_001654233.1	346	-	leucine dehydrogenase
chr	NC_010287.1	187457	188485	-	5858096	cysQ	CTL0143	YP_001654234.1	342	-	3\'(2\'),5\'-bisphosphate nucleotidase
chr	NC_010287.1	188783	189544	+	5857983	-	CTL0144	YP_001654235.1	253	-	1-acyl-sn-glycerol-3-phosphate acyltransferase
chr	NC_010287.1	189552	191165	+	5858079	aas	CTL0145	YP_001654236.1	537	-	long chain fatty acid-
chr	NC_010287.1	191208	192341	+	5858621	bioF	CTL0146	YP_001654237.1	377	-	8-amino-7-oxononanoate synthase
chr	NC_010287.1	192260	194521	-	5858030	priA	CTL0147	YP_001654238.1	753	-	primosomal protein N\'
chr	NC_010287.1	194476	195165	-	5858596	-	CTL0148	YP_001654239.1	229	-	hypothetical protein CTL0148
chr	NC_010287.1	195321	195815	+	5858193	-	CTL0149	YP_001654240.1	164	-	hypothetical protein CTL0149
chr	NC_010287.1	196047	197627	+	5858105	lysS	CTL0150	YP_001654241.1	526	-	lysine--tRNA ligase
chr	NC_010287.1	197624	199117	-	5858607	cysS	CTL0151	YP_001654242.1	497	-	cysteine--tRNA ligase
chr	NC_010287.1	199370	200419	+	5858606	-	CTL0152	YP_001654243.1	349	-	hypothetical protein CTL0152
chr	NC_010287.1	200497	200859	-	5858070	rnpA	CTL0153	YP_001654244.1	120	-	ribonuclease P protein component
chr	NC_010287.1	200872	201009	-	5858753	rpmH	CTL0153A	YP_001654245.1	45	-	50S ribosomal protein L34
chr	NC_010287.1	201486	201623	+	5858008	rpmJ	CTL0154	YP_001654246.1	45	-	50S ribosomal protein L36
chr	NC_010287.1	201647	201952	+	5858719	rpsN	CTL0155	YP_001654247.1	101	-	30S ribosomal protein S14
chr	NC_010287.1	201986	202486	-	5858015	-	CTL0156	YP_001654248.1	166	-	hypothetical protein CTL0156
chr	NC_010287.1	202608	202859	-	5858761	-	CTL0157	YP_001654249.1	83	-	hypothetical protein CTL0157
chr	NC_010287.1	203139	203633	+	5858078	-	CTL0158	YP_001654250.1	164	-	hypothetical protein CTL0158
chr	NC_010287.1	203679	205418	-	5858792	uvrC	CTL0159	YP_001654251.1	579	-	excinuclease ABC subunit C
chr	NC_010287.1	205500	207962	-	5858799	mutS	CTL0160	YP_001654252.1	820	-	DNA mismatch repair protein MutS
chr	NC_010287.1	208295	210082	+	5858602	dnaG	CTL0162	YP_001654253.1	595	-	DNA primase
chr	NC_010287.1	210167	210454	+	5858691	-	CTL0163	YP_001654254.1	95	-	hypothetical protein CTL0163
chr	NC_010287.1	210580	211071	+	5858062	-	CTL0164	YP_001654255.1	163	-	hypothetical protein CTL0164
chr	NC_010287.1	211154	214165	-	5858783	glyQ	CTL0165	YP_001654256.1	1003	-	glycine--tRNA ligase
chr	NC_010287.1	214619	215227	+	5858595	pgsA	CTL0166	YP_001654257.1	202	-	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
chr	NC_010287.1	215234	216658	-	5858439	glgA	CTL0167	YP_001654258.1	474	-	glycogen synthase
chr	NC_010287.1	217235	217792	+	5858333	rplY	CTL0168	YP_001654259.1	185	-	50S ribosomal protein L25/general stress protein Ctc
chr	NC_010287.1	217800	218339	+	5858562	pth	CTL0169	YP_001654260.1	179	-	peptidyl-tRNA hydrolase
chr	NC_010287.1	218477	218815	+	5858725	rpsF	CTL0170	YP_001654261.1	112	-	30S ribosomal protein S6
chr	NC_010287.1	218832	219077	+	5858576	rpsR	CTL0171	YP_001654262.1	81	-	30S ribosomal protein S18
chr	NC_010287.1	219098	219601	+	5858189	rplI	CTL0172	YP_001654263.1	167	-	50S ribosomal protein L9
chr	NC_010287.1	219665	220531	+	5858491	ispE	CTL0173	YP_001654264.1	288	-	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
chr	NC_010287.1	220834	222186	-	5858047	-	CTL0174	YP_001654265.1	450	-	hypothetical protein CTL0174
chr	NC_010287.1	222365	225235	-	5858077	ptr	CTL0175	YP_001654266.1	956	-	insulinase/protease
chr	NC_010287.1	225287	226288	-	5858745	plsB	CTL0176	YP_001654267.1	333	-	glycerol-3-phosphate acyltransferase
chr	NC_010287.1	226301	227839	-	5857971	cafE	CTL0177	YP_001654268.1	512	-	ribonuclease E
chr	NC_010287.1	228109	228321	-	16665130	-	CTL0178a	YP_008470958.1	70	-	hypothetical protein CTL0178a
chr	NC_010287.1	228286	228723	+	5858471	-	CTL0178	YP_001654269.2	145	-	hypothetical protein CTL0178
chr	NC_010287.1	228663	228989	+	5857967	-	CTL0179	YP_001654270.1	108	-	hypothetical protein CTL0179
chr	NC_010287.1	228973	229152	+	5858747	rpmF	CTL0181	YP_001654271.1	59	-	50S ribosomal protein L32
chr	NC_010287.1	229174	230139	+	5858541	plsX	CTL0182	YP_001654272.1	321	-	phosphate acyltransferase
chr	NC_010287.1	230359	234951	+	5858550	pmpD	CTL0183	YP_001654273.1	1530	-	outer membrane protein PmpD
chr	NC_010287.1	235152	235946	+	5858795	-	CTL0184	YP_001654274.1	264	-	inclusion membrane protein
chr	NC_010287.1	236030	236329	-	5858748	-	CTL0185	YP_001654275.1	99	-	hypothetical protein CTL0185
chr	NC_010287.1	236350	236712	-	5858112	-	CTL0186	YP_001654276.1	120	-	hypothetical protein CTL0186
chr	NC_010287.1	236957	238333	+	5858103	glmM	CTL0187	YP_001654277.1	458	-	phosphoglucosamine mutase
chr	NC_010287.1	238344	240164	+	5858216	glmS	CTL0188	YP_001654278.1	606	-	glutamine--fructose-6-phosphate aminotransferase
chr	NC_010287.1	240267	241463	+	5858658	tyrP	CTL0189	YP_001654279.1	398	-	tyrosine-specific transport protein
chr	NC_010287.1	241646	242839	+	5858800	-	CTL0190	YP_001654280.1	397	-	tyrosine-specific transport protein
chr	NC_010287.1	242881	243597	+	5858712	-	CTL0191	YP_001654281.1	238	-	hypothetical protein CTL0191
chr	NC_010287.1	243695	244549	-	5857966	ftsY	CTL0192	YP_001654282.1	284	-	signal recognition particle receptor FtsY
chr	NC_010287.1	244619	245779	+	5858038	sucC	CTL0193	YP_001654283.1	386	-	succinyl-CoA ligase subunit beta
chr	NC_010287.1	245794	246669	+	5858710	sucD	CTL0194	YP_001654284.1	291	-	succinyl-CoA ligase subunit alpha
chr	NC_010287.1	246808	248301	+	5858709	htrA	CTL0195	YP_001654285.1	497	-	serine protease
chr	NC_010287.1	248502	251426	+	5858677	-	CTL0196	YP_001654286.1	974	-	Zn-dependent peptidase
chr	NC_010287.1	251440	252723	-	5858145	rmuC	CTL0197	YP_001654287.1	427	-	DNA recombination protein
chr	NC_010287.1	252727	253518	-	5858546	pssA	CTL0198	YP_001654288.1	263	-	CDP-diacylglycerol--serine O-phosphatidyltransferase
chr	NC_010287.1	254153	257296	+	5858185	nrdA	CTL0199	YP_001654289.1	1047	-	ribonucleoside-diphosphate reductase subunit alpha
chr	NC_010287.1	257334	258374	+	5858638	nrdB	CTL0200	YP_001654290.1	346	-	ribonucleoside-diphosphate reductase subunit beta
chr	NC_010287.1	258634	259308	+	5858665	trmB	CTL0201	YP_001654291.1	224	-	tRNA (guanine-N(7)-)-methyltransferase
chr	NC_010287.1	259424	260008	+	5858258	-	CTL0202	YP_001654292.1	194	-	rRNA methylase
chr	NC_010287.1	260005	260880	-	5858048	murB	CTL0203	YP_001654293.1	291	-	UDP-N-acetylenolpyruvoylglucosamine reductase
chr	NC_010287.1	261013	261519	-	5858668	nusB	CTL0204	YP_001654294.1	168	-	transcription termination factor NusB
chr	NC_010287.1	261951	262511	+	5858759	infC	CTL0205	YP_001654295.1	186	-	translation initiation factor IF-3
chr	NC_010287.1	262498	262683	+	5858809	rpmI	CTL0206	YP_001654296.1	61	-	50S ribosomal protein L35
chr	NC_010287.1	262702	263073	+	5857943	rplT	CTL0207	YP_001654297.1	123	-	50S ribosomal protein L20
chr	NC_010287.1	263080	264108	+	5858583	pheS	CTL0208	YP_001654298.1	342	-	phenylalanine--tRNA ligase subunit alpha
chr	NC_010287.1	264419	266395	+	5858274	-	CTL0209	YP_001654299.1	658	-	hypothetical protein CTL0209
chr	NC_010287.1	266392	267492	-	5858347	-	CTL0210	YP_001654300.1	366	-	hypothetical protein CTL0210
chr	NC_010287.1	267495	268559	-	5857903	-	CTL0211	YP_001654301.1	354	-	hypothetical protein CTL0211
chr	NC_010287.1	268657	269622	+	5858379	tilS	CTL0212	YP_001654302.1	321	-	tRNA(Ile)-lysidine synthase
chr	NC_010287.1	269783	272524	+	5858378	ftsH	CTL0213	YP_001654303.1	913	-	ATP-dependent zinc metalloprotease FtsH
chr	NC_010287.1	272739	274826	-	5858659	pnp	CTL0214	YP_001654304.1	695	-	polyribonucleotide nucleotidyltransferase
chr	NC_010287.1	274855	275124	-	5858176	rpsO	CTL0215	YP_001654305.1	89	-	30S ribosomal protein S15
chr	NC_010287.1	275350	275841	+	5858676	-	CTL0216	YP_001654306.1	163	-	nucleoside deaminase
chr	NC_010287.1	275813	276091	+	5857905	-	CTL0217	YP_001654307.2	92	-	hypothetical protein CTL0217
chr	NC_010287.1	276063	276767	-	5858353	-	CTL0218	YP_001654308.1	234	-	hypothetical protein CTL0218
chr	NC_010287.1	276902	277420	-	5858389	-	CTL0219	YP_001654309.1	172	-	hypothetical protein CTL0219
chr	NC_010287.1	277433	277939	-	5858330	-	CTL0220	YP_001654310.1	168	-	hypothetical protein CTL0220
chr	NC_010287.1	277967	278446	-	5858358	-	CTL0221	YP_001654311.1	159	-	hypothetical protein CTL0221
chr	NC_010287.1	278763	278951	+	5858406	-	CTL0222	YP_001654312.1	62	-	hypothetical protein CTL0222
chr	NC_010287.1	278970	280187	+	5858227	-	CTL0223	YP_001654313.1	405	-	hypothetical protein CTL0223
chr	NC_010287.1	280144	281019	-	5858436	map	CTL0224	YP_001654314.1	291	-	methionine aminopeptidase
chr	NC_010287.1	281052	281693	-	5858102	-	CTL0225	YP_001654315.1	213	-	hypothetical protein CTL0225
chr	NC_010287.1	281710	282309	-	5857990	-	CTL0226	YP_001654316.1	199	-	hypothetical protein CTL0226
chr	NC_010287.1	282504	284273	-	5858777	-	CTL0227	YP_001654317.1	589	-	ABC transporter permease/substrate-binding protein
chr	NC_010287.1	285800	287503	-	5858640	-	CTL0231	YP_001654318.1	567	-	sulfate transporter
chr	NC_010287.1	288258	289523	+	5858727	-	CTL0232	YP_001654321.1	421	-	Na(+)/H(+) antiporter
chr	NC_010287.1	289633	291438	+	5858254	cpa	CTL0233	YP_001654322.1	601	-	hypothetical protein CTL0233
chr	NC_010287.1	291533	292456	+	5858681	ispH	CTL0234	YP_001654323.1	307	-	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
chr	NC_010287.1	292508	293989	-	5858122	copD2	CTL0235	YP_001654324.1	493	-	type III secretion system translocator CopD2
