Name,wildtype-rep1,wildtype-rep2,revR-rep1,revR-rep2,virR-rep1,virR-rep2,Length,Gene,Product,On same fragment,Ambiguous alignment
CPE0021,37,184,82,314,65,130,3807,addA,ATP-dependent deoxyribonuclease chain A,12xCPE0020,78xCPE0489 33xCPE1864 27xCPE2284 24xCPE1901 20xCPE1858 19xCPE0117 19xCPE1340 14xCPE2087 12xCPE2162 12xCPE0665 9xCPE1880 7xCPE0481 7xCPE0544 4xCPE2358 4xCPE0965 4xCPE1586 4xCPE2159 4xCPE1476 4xCPE1470 3xCPE2201 3xCPE0104 2xCPE2617 2xCPE1481 2xPCP34 2xCPE1899 2xCPE1715 2xCPE2275 2xCPE2230 2xCPE1396 2xCPE1564 2xCPE1609 2xCPE0478 1xCPE0416 1xCPE2484 1xPCP30 1xPCP14 1xPCP61 1xCPE0250 1xCPE1579 1xCPE2165 1xCPE1702 1xCPE1484 1xCPE2020 1xCPE1201 1xCPE1903 1xCPE0216 1xCPE1364 1xCPE2502 1xCPE0867 1xCPE1368 1xCPE0063 1xCPE2523 1xCPE0338 1xCPE0849 1xCPE0337 1xPCP12 1xCPE1410 1xCPE1312 1xCPE2291 1xPCP51 1xCPE0267 1xCPE1210 1xCPE2132
CPE0022,21,70,63,103,26,57,1275,papS,poly(A) polymerase,,
CPE0023,90,205,107,215,173,233,993,,CMP-binding factor,,1xCPE1476 1xCPE1864 1xCPE2284
CPE0024,16,52,31,38,85,82,1161,,ErfK/YbiS/YcfS/YnhG family protein,,
CPE0025,146,512,302,1235,249,584,1221,pepT,peptidase T,,1xCPE2313 1xCPE1579
CPE0026,71,255,98,109,52,180,876,,degV family protein,,
CPE0027,21,14,18,22,36,45,1140,,hypothetical protein,,1xCPE0053 1xCPE2313
CPE0028,129,283,148,226,110,158,885,psdD,phosphatidylserine decarboxylase,,
CPE0029,22,114,141,351,41,90,570,,TetR family transcriptional regulator,,
CPE0030,128,278,141,364,139,265,1266,hlyA,hemolysin-related protein,202xCPE0031,
CPE0031,60,112,63,70,59,147,432,,cytidine/deoxycytidylate deaminase,202xCPE0030 3xCPE0032,
CPE0032,406,588,259,370,645,1060,459,,hypothetical protein,3xCPE0031 1xCPE0033,
CPE0033,8,16,6,7,8,16,366,,hypothetical protein,1xCPE0032,
CPE0034,5,10,7,5,113,75,663,,hypothetical protein,,
CPE0035,203,485,239,440,255,495,1473,yplC,hypothetical protein,,
CPE0036,279,309,270,510,197,132,1197,plc,phospholipase C,,
CPE0037,1,5,1,1,67,51,927,cobW,CobW/P47K family protein,6xCPE0038,
CPE0038,3,3,1,2,73,72,585,,hypothetical protein,31xCPE0039 6xCPE0037,
CPE0039,2,2,1,2,50,41,894,,hypothetical protein,31xCPE0038 2xCPE0040,
CPE0040,1,2,0,1,31,9,720,,hypothetical protein,2xCPE0039,1xCPE2030
CPE0041,115,212,115,171,119,158,789,,prolipoprotein diacylglyceryl transferase,,
CPE0042,13,52,16,49,24,55,504,,lipoprotein,,
CPE0043,38,120,58,87,32,197,1287,brnQ,branched chain amino acid ABC transporter carrier protein,,
CPE0044,14,58,35,98,18,44,486,folA,dihydrofolate reductase,,
CPE0045,50,117,66,241,62,139,1644,dnaX,DNA polymerase III subunits gamma and tau,29xCPE0046,
CPE0046,453,1411,406,851,656,1830,339,,hypothetical protein,29xCPE0045 9xCPE0047,
CPE0047,48,125,93,51,67,101,597,recR,recombination protein RecR,9xCPE0046 3xCPE0048,
CPE0048,50,80,49,21,183,280,279,,hypothetical protein,381xCPE0049 3xCPE0047,
CPE0049,42,77,47,19,166,234,279,,hypothetical protein,381xCPE0048,
CPE0050,3,14,2,13,53,64,1131,,hypothetical protein,6xCPE0051,
CPE0051,22,53,21,21,49,68,180,,hypothetical protein,69xCPE0052 6xCPE0050,
CPE0052,10,26,17,15,52,75,183,,hypothetical protein,69xCPE0051 1xCPE0053,
CPE0053,43,99,64,104,33,83,1077,,aminotransferase class V,3xCPE0054 1xCPE0052,1xCPE0027 1xCPE2313
CPE0054,7,17,16,14,14,15,906,serA,D-3-phosphoglycerate dehydrogenase,4xCPE0055 3xCPE0053,1xCPE1292 1xPCP51
CPE0055,20,62,59,135,35,46,1257,,hypothetical protein,4xCPE0054,
CPE0056,100,170,180,167,140,171,696,mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,
CPE0057,38,160,90,140,56,92,762,,HesA/MoeB/ThiF family protein,,
CPE0058,18,53,32,100,41,57,1167,,putative transporter,27xCPE0059,
CPE0059,25,44,18,39,44,34,939,,GNAT family acetyltransferase,33xCPE0060 27xCPE0058,
CPE0060,19,65,42,37,59,50,687,dgk2,deoxyguanosine kinase,33xCPE0059,
CPE0061,60,129,73,124,91,158,1323,,integral membrane transport protein,61xCPE0062,
CPE0062,109,62,62,38,65,107,150,,hypothetical protein,61xCPE0061,
CPE0063,45,79,25,47,109,153,2025,glgB,glycogen branching enzyme,76xCPE0064,1xCPE2159 1xCPE1484 1xCPE0021 1xCPE2291 1xCPE0479 1xCPE0267 1xCPE0489
CPE0064,21,62,18,44,68,98,1449,glgA,glycogen synthase,76xCPE0063 28xCPE0065,
CPE0065,46,89,27,44,222,194,2436,glgP,glycogen phosphorylase,28xCPE0064,
CPE0066,4,10,2,6,10,23,1821,,amylopullulanase,4xCPE0067,1xCPE1899 1xCPE1655 1xCPE2011
CPE0067,7,9,1,9,339,314,444,,hypothetical protein,4xCPE0066 1xCPE0068,
CPE0068,43,61,12,39,405,260,1182,glgC,glucose-1-phosphate adenylyltransferase,63xCPE0069 1xCPE0067,
CPE0069,31,38,14,24,351,224,1107,glgD,glycogen biosynthesis protein,93xCPE0070 63xCPE0068,
CPE0070,51,59,38,63,302,208,447,,phosphotransbutyrylase,93xCPE0069,
CPE0071,52,155,76,123,65,97,1443,clsA,cardiolipin synthase,,
CPE0072,20,18,4,6,31,85,1557,,putative aminobenzoyl-glutamate transporter,,
CPE0073,27,64,28,73,54,69,585,,transcription antiterminator,161xCPE0074,
CPE0074,17,51,30,42,39,51,378,,transcription antiterminator,161xCPE0073,
CPE0075,394,768,204,419,413,929,258,,PTS system glucose-specific transporter subunit,,
CPE0076,22,32,6,21,16,23,1218,,"PTS system, N-acetylglucosamine-specific IIBC component",16xCPE0077,
CPE0077,1,5,1,3,3,7,186,,PTS system N-acetyl glucosamine specific transporte,16xCPE0076,
CPE0078,10,34,21,64,14,35,519,,TetR family transcriptional regulator,,
CPE0079,155,110,80,222,443,293,2091,fus,elongation factor G,,
CPE0080,17,25,4,62,22,43,237,,hypothetical protein,,
CPE0081,58,186,91,172,86,259,948,glcK,glucose kinase,,
CPE0082,4208,9007,5008,19986,5870,14514,543,,hypothetical protein,,10969xCPE2618 286xCPE0689
CPE0083,40,74,91,150,43,85,624,gpmA,phosphoglycerate mutase,,
CPE0084,62,61,27,65,74,82,771,iolR,transcription repressor of myo-inositol catabolism operon,,
CPE0085,26,16,1,2,17,5,1155,mdh,alcohol dehydrogenase,2xCPE0086,
CPE0086,7,4,0,0,7,2,846,alf1,fructose-bisphosphate aldolase,3xCPE0087 2xCPE0085,
CPE0087,10,3,1,3,10,0,1017,iolC,myo-inositol catabolism protein,3xCPE0088 3xCPE0086,
CPE0088,13,10,1,3,13,2,768,iolB,myo-inositol catabolism protein,6xCPE0089 3xCPE0087,
CPE0089,27,9,2,5,17,1,1920,iolD,myo-inositol catabolism protein,6xCPE0088,
CPE0090,54,32,0,2,61,14,1008,,dehydrogenase,5xCPE0091,
CPE0091,170,50,3,5,113,15,894,iolE,myo-inositol catabolism protein,5xCPE0090 3xCPE0092,
CPE0092,37,23,1,0,31,9,1590,,symporter YidK,3xCPE0091 2xCPE0093,
CPE0093,35,9,0,0,20,2,1050,,dehydrogenase,2xCPE0092,
CPE0094,72,97,0,1,26,10,759,,nitrite transporter NirC,,
CPE0095,14,3,1,2,6,3,777,,crotonase,2xCPE0096,1xCPE2382
CPE0096,21,8,0,2,5,5,1551,,propionate CoA-transferase,2xCPE0097 2xCPE0095,
CPE0097,46,33,3,3,31,9,1137,acdS,acyl-CoA dehydrogenase,2xCPE0096,
CPE0098,2457,6894,7919,29681,5445,5569,351,,hypothetical protein,,
CPE0099,2,2,2,2,3,3,1131,gldA,glycerol dehydrogenase,1xCPE0100,
CPE0100,4,2,2,8,2,8,1749,,dihydroxyacetone kinase,1xCPE0099,
CPE0101,5,62,44,276,11,32,1434,,multidrug resistance protein,,
CPE0102,210,1102,1051,4302,241,503,273,,hypothetical protein,,
CPE0103,495,1032,759,4884,503,2616,954,ldh,L-lactate dehydrogenase,,
CPE0104,236,502,330,1088,265,451,1176,,hypothetical protein,10xCPE0105,3xCPE0021 2xCPE2284 2xCPE1858 1xCPE2162 1xCPE2159 1xCPE0117 1xCPE0489 1xCPE2201 1xCPE1057 1xPCP61 1xCPE0481 1xCPE1864 1xCPE0544 1xCPE0327
CPE0105,19,11,1,6,346,151,438,,hypothetical protein,10xCPE0104,
CPE0106,31,133,95,292,53,93,741,,hypothetical protein,7xCPE0107,
CPE0107,283,587,538,1287,209,365,873,,hypothetical protein,7xCPE0106,
CPE0108,71,130,103,149,110,230,1365,,GTP-binding protein,,
CPE0109,86,71,116,229,110,188,285,,hypothetical protein,,
CPE0110,215,372,458,267,351,1204,1422,thiH,thiamine biosynthesis protein ThiH,39xCPE0111,
CPE0111,59,172,117,273,87,463,252,,hypothetical protein,39xCPE0110,
CPE0112,102,204,111,354,56,108,1566,,hypothetical protein,,
CPE0113,2838,2043,24,48,15147,6219,228,,hypothetical protein,5xCPE0114,
CPE0114,1182,1980,17,54,6517,6318,225,,hypothetical protein,5xCPE0113,
CPE0115,47,50,50,60,104,115,942,,N-acetylmuramoyl-L-alanine amidase,18xCPE0116,
CPE0116,16,25,30,64,87,69,1161,,hypothetical protein,43xCPE0117 18xCPE0115,
CPE0117,30,131,87,322,117,156,1251,,hypothetical protein,43xCPE0116,112xCPE2284 49xCPE1864 42xCPE0544 34xCPE1340 32xCPE0489 20xCPE1858 19xCPE0021 15xCPE1476 6xCPE2162 6xCPE1002 5xPCP34 4xCPE0665 4xCPE1880 3xCPE2087 3xCPE0965 3xCPE1396 2xCPE1410 2xCPE2275 2xCPE0767 2xCPE2201 2xCPE2358 2xCPE0481 2xCPE0536 2xCPE1564 2xCPE0216 2xCPE2484 2xCPE1901 1xCPE1012 1xCPE2617 1xCPE1956 1xPCP61 1xCPE1819 1xCPE2382 1xCPE0596 1xCPE2049 1xPCP62 1xCPE1894 1xCPE1303 1xCPE1899 1xCPE1484 1xCPE1347 1xCPE1586 1xCPE0914 1xCPE1745 1xCPE1238 1xCPE2159 1xCPE0888 1xCPE0849 1xCPE1579 1xCPE1727 1xCPE1481 1xCPE0478 1xCPE1559 1xCPE0104 1xCPE2132 1xCPE1470
CPE0118,36,78,75,248,39,54,801,,hypothetical protein,2xCPE0119,1xCPE2052
CPE0119,26,28,43,38,39,22,681,,two-component response regulator,32xCPE0120 2xCPE0118,
CPE0120,38,49,48,53,52,37,1014,,two-component sensor histidine kinase,32xCPE0119 20xCPE0121,
CPE0121,0,13,6,7,4,4,198,,hypothetical protein,20xCPE0120,
CPE0122,2,4,3,12,6,5,771,,ABC transporter,5xCPE0123,
CPE0123,21,23,15,33,15,20,1980,,ABC transporter,5xCPE0122,
CPE0124,2,40,11,37,4,27,570,,hypothetical protein,,
CPE0125,7,17,5,26,5,20,213,,hypothetical protein,,
CPE0126,39,30,25,66,70,83,327,,hypothetical protein,,
CPE0127,1,2,3,15,1,6,195,,hypothetical protein,2xCPE0128,
CPE0128,5,7,6,21,8,6,630,,hypothetical protein,2xCPE0127,
CPE0129,4,4,4,7,10,6,1020,,hypothetical protein,,
CPE0130,1,8,1,2,29,81,153,,hypothetical protein,,
CPE0131,12,32,13,29,13,21,894,,hypothetical protein,,
CPE0132,45,161,67,243,81,162,1239,cinA,competence damage-inducible protein A,,
CPE0133,36,142,90,202,98,118,927,,CAAX amino terminal protease,,
CPE0134,1,5,3,7,4,6,210,,hypothetical protein,,
CPE0135,652,2697,1239,5958,1439,3212,588,rubY,rubrerythrin,,
CPE0136,66,89,66,51,84,115,546,,hypothetical protein,,
CPE0137,50,101,79,78,51,102,1557,,ABC transporter,,
CPE0138,53,65,34,24,110,131,801,,hypothetical protein,,
CPE0139,22,24,14,53,24,32,471,,transposase,,
CPE0140,19,51,32,59,165,180,1770,,DNA helicase IV,,
CPE0141,0,0,0,3,27,18,162,,hypothetical protein,,
CPE0142,4,1,4,7,10,16,216,,hypothetical protein,24xCPE0143,
CPE0143,5,4,5,7,6,16,360,,hypothetical protein,24xCPE0142,
CPE0144,30,46,71,50,93,119,552,,RNA 2'-phosphotransferase-like protein,,
CPE0145,4,8,3,18,6,10,846,,hypothetical protein,7xCPE0146,
CPE0146,0,4,6,12,2,9,1026,,2-keto-3-deoxygluconate kinase,7xCPE0145 4xCPE0147,
CPE0147,35,35,22,40,40,72,1800,bglR,beta-D-glucuronidase,4xCPE0146,
CPE0148,70,92,70,74,57,106,690,,transcriptional regulator,,
CPE0149,9,5,5,13,11,15,852,,D-mannonate oxidoreductase,12xCPE0150,
CPE0150,4,6,1,8,5,6,609,,2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase,12xCPE0149,
CPE0151,11,7,4,8,13,11,1053,uxuA,mannonate dehydratase,6xCPE0152,
CPE0152,6,4,1,8,7,7,1401,uxaC,glucuronate isomerase,6xCPE0151,
CPE0153,3,2,2,7,6,3,1392,uidB,glucuronide permease,2xCPE0154,
CPE0154,8,14,12,17,13,15,1770,,beta-hexosamidase A,2xCPE0153,
CPE0155,2,4,2,8,3,4,2172,,hypothetical protein,2xCPE0156,
CPE0156,2,1,2,3,3,7,1569,,surface protein,2xCPE0155,
CPE0157,1,1,0,1,0,1,756,,sortase,,
CPE0158,5,9,6,7,9,7,912,,hypothetical protein,,
CPE0159,169,372,79,97,85,180,594,,hypothetical protein,1xCPE0160,
CPE0160,17,42,19,16,22,25,552,,hypothetical protein,1xCPE0159,
CPE0161,20,24,36,41,13,27,1467,,hypothetical protein,,
CPE0162,143,258,80,22,85,149,1032,pfoR,regulatory protein,,
CPE0163,2443,3276,2702,4360,5,23,1503,pfoA,perfringolysin O,18xCPE0164,
CPE0164,267,561,291,838,190,354,459,,hypothetical protein,699xCPE0165 18xCPE0163,
CPE0165,4182,4804,5235,6529,2031,3252,168,,hypothetical protein,699xCPE0164,
CPE0166,7,7,2,6,13,22,1488,,membrane-spanning transporter protein,,
CPE0167,3,10,4,11,21,41,2070,pbg,beta-galactosidase,,
CPE0168,1055,3887,4323,3030,1184,8231,1242,arcA,arginine deiminase,1989xCPE0169,
CPE0169,951,4140,3988,2858,1091,8991,996,arcB,ornithine carbamoyltransferase,1989xCPE0168 230xCPE0170,
CPE0170,249,853,808,737,286,1597,1437,arcD,arginine/ornithine antiporter,230xCPE0169 226xCPE0171,
CPE0171,220,557,596,325,295,1658,945,arcC,carbamate kinase,571xCPE0172 226xCPE0170,
CPE0172,175,442,460,199,273,1291,456,argR,arginine repressor ArgR,571xCPE0171,
CPE0173,402,338,552,1579,195,145,3315,colA,collagenase,,
CPE0174,72,312,137,600,59,138,459,mscL,large-conductance mechanosensitive channel,,
CPE0175,30,99,17,51,24,26,576,ycgJ,"methyltransferase, UbiE/COQ5 family",31xCPE0176,
CPE0176,44,189,21,50,34,48,1155,metB,cystathionine beta-lyase,32xCPE0177 31xCPE0175,
CPE0177,17,104,9,27,23,31,909,cysK,cysteine synthase,38xCPE0178 32xCPE0176,
CPE0178,100,268,61,30,82,72,456,luxS,S-ribosylhomocysteinase,38xCPE0177,
CPE0179,28,121,93,301,65,85,1011,lipA,lipase,,
CPE0180,15,6,5,12,39,22,792,,hypothetical protein,12xCPE0181,
CPE0181,3,3,2,7,26,17,819,,hypothetical protein,14xCPE0182 12xCPE0180,
CPE0182,17,26,22,48,63,71,1026,,ABC transporter ATP-binding protein,14xCPE0181,
CPE0183,127,364,331,683,119,450,669,,nitroreductase,,
CPE0184,11,8,36,90,28,19,666,nanP,N-acetylmannosamine-6-phosphate 2-epimerase,51xCPE0185,
CPE0185,10,12,27,196,21,15,867,nanA,N-acetylneuraminate lyase,51xCPE0184 11xCPE0186,
CPE0186,8,8,13,108,9,16,1518,,putative transporter,11xCPE0185 3xCPE0187,
CPE0187,3,6,9,58,13,8,453,,cryptic beta-D-galactosidase subunit beta,3xCPE0186 2xCPE0188,
CPE0188,15,37,16,75,12,39,888,,ROK family protein,2xCPE0187 1xCPE0189,
CPE0189,87,129,92,95,117,148,840,,RpiR family transcriptional regulator,1xCPE0188,
CPE0190,875,1061,334,621,390,685,390,,hypothetical protein,,
CPE0191,102,164,16,40,1412,1243,4887,nagH,hyaluronidase,,
CPE0192,6,24,16,11,11,17,672,cbiM,cobalt transport protein CbiM,6xCPE0193,
CPE0193,3,4,7,7,3,6,312,cbiN,cobalt transport protein CbiN,8xCPE0194 6xCPE0192,
CPE0194,10,8,10,6,9,9,708,cbiQ,cobalt ABC transporter permease,8xCPE0193 7xCPE0195,
CPE0195,19,31,35,15,29,16,858,cbiO,cobalt transporter ATP-binding subunit,7xCPE0194,
CPE0196,14,15,4,17,43,85,1581,ptiB,PTS arbutin-like enzyme IIBC component,,
CPE0197,53,78,81,103,53,106,771,,putative DNA-binding transcriptional regulator,,
CPE0198,4,14,15,43,5,15,501,,hypothetical protein,,
CPE0199,21,20,9,21,70,127,1326,malH,maltose-6'-phosphate glucosidase,,
CPE0200,232,817,407,494,204,564,162,,hypothetical protein,,
CPE0201,45,47,32,9,63,104,864,,5'-nucleotidase,,
CPE0202,202,272,115,123,171,419,1200,spoIIQ,cell wall-binding protein,,
CPE0203,4,5,5,3,56,37,657,,hypothetical protein,,
CPE0204,4,5,6,16,103,72,630,,acetyltransferase,,2xCPE0489 1xCPE0665 1xCPE1864 1xCPE1901
CPE0205,188,320,253,1128,220,370,276,,hypothetical protein,,
CPE0206,27,27,7,8,339,184,582,,hypothetical protein,,
CPE0207,73,227,116,232,121,187,2376,,two-component sensor histidine kinase,,
CPE0208,27,68,51,88,72,98,1059,,hypothetical protein,,
CPE0209,11,11,2,3,103,236,228,,hypothetical protein,2xCPE0210,
CPE0210,33,115,126,171,26,52,882,,hypothetical protein,23xCPE0211 2xCPE0209,
CPE0211,47,175,103,103,65,129,2199,,hypothetical protein,23xCPE0210,
CPE0212,10,28,16,16,31,19,771,,hypothetical protein,,
CPE0213,27,34,43,123,56,66,816,,mechanosensitive channel MscS,,1xCPE1484
CPE0214,1545,5149,2407,10323,2155,4829,645,,heme oxygenase,,
CPE0215,18,51,30,108,19,46,1224,sbcD,exonuclease,22xCPE0216,
CPE0216,43,85,38,96,66,75,3528,sbcC,exonuclease SbcC,22xCPE0215,2xCPE1579 2xCPE0117 2xCPE1880 1xCPE1340 1xCPE0021 1xCPE2284 1xCPE1899 1xCPE2275 1xCPE0914 1xCPE0849
CPE0217,147,209,118,71,211,653,1197,ackA,acetate kinase,,
CPE0218,89,194,150,389,89,181,822,,DnaJ-related protein,,
CPE0219,4,8,7,33,8,10,759,,AraC family transcriptional regulator,,
CPE0220,7,6,1,8,15,13,2232,,hypothetical protein,,
CPE0221,0,0,1,0,4,2,648,,iron transporter,2xCPE0222,
CPE0222,0,2,2,0,3,6,564,,sortase,5xCPE0223 2xCPE0221,
CPE0223,0,1,0,3,5,6,888,,ferrichrome ABC transporter,5xCPE0222 2xCPE0224,
CPE0224,0,2,0,3,2,6,987,,ferrichrome ABC transporter,2xCPE0223 1xCPE0225,
CPE0225,0,1,0,2,4,1,780,fhuC,ferrichrome ABC transporter,1xCPE0224 1xCPE0226,
CPE0226,2,7,4,4,7,13,1731,,ABC transporter,2xCPE0227 1xCPE0225,
CPE0227,4,6,4,8,9,25,1689,,ABC transporter,13xCPE0228 2xCPE0226,
CPE0228,3,5,5,5,8,22,396,,hypothetical protein,28xCPE0229 13xCPE0227,
CPE0229,2,4,4,5,6,13,300,,hypothetical protein,28xCPE0228,
CPE0230,34,118,44,20,25,104,186,,(Fe-S)-binding protein,,
CPE0231,22,51,39,77,44,67,1446,,arylsulfatase,,
CPE0232,0,2,1,3,1,5,1338,glpT,glycerol-3-phosphate transporter,,
CPE0233,1,5,4,1,7,6,1020,,iron(III) ABC transporter,4xCPE0234,
CPE0234,1,2,10,5,5,5,789,,hypothetical protein,5xCPE0235 4xCPE0233,
CPE0235,4,8,14,6,6,16,1431,,sensor histidine kinase,7xCPE0236 5xCPE0234,
CPE0236,12,20,29,32,11,21,672,,DNA-binding response regulator,7xCPE0235,
CPE0237,5,17,5,4,133,201,1200,napA,Na+/H+ antiporter,,
CPE0238,496,1567,1156,6752,482,1012,528,,hypothetical protein,,
CPE0239,140,130,178,332,235,179,777,,hypothetical protein,,1xCPE1530
CPE0240,3,8,4,6,66,49,1431,,hypothetical protein,14xCPE0241,
CPE0241,10,23,9,6,191,96,693,,flagellar motor protein MotB,14xCPE0240,
CPE0242,7,82,35,199,9,37,321,,immunity protein,,
CPE0243,96,153,173,322,59,81,249,,hypothetical protein,209xCPE0244,
CPE0244,87,111,147,231,71,53,777,,hypothetical protein,209xCPE0243,1xCPE0282 1xCPE0566
CPE0245,11,32,23,96,8,19,2328,,GGDEF/EAL domain protein,,
CPE0246,3,3,2,3,47,51,1269,,dnaJ domain protein,7xCPE0247,
CPE0247,2,3,0,3,55,27,603,grpE,heat shock protein GrpE,21xCPE0248 7xCPE0246,1xCPE1625 1xCPE2135 1xCPE0020 1xCPE1609 1xCPE1858 1xCPE1484 1xCPE0344 1xCPE2265
CPE0248,3,7,3,11,126,97,1728,dnaK,molecular chaperone DnaK,45xCPE0249 21xCPE0247,
CPE0249,4,6,5,7,113,96,735,,hypothetical protein,45xCPE0248,
CPE0250,58,112,118,189,68,72,774,,capsular polysaccharide biosynthesis protein,,2xCPE2284 1xCPE1340 1xPCP12 1xCPE0021 1xCPE1864 1xCPE0544
CPE0251,118,175,31,33,114,471,1323,,hypothetical protein,,
CPE0252,7,13,3,4,110,197,447,,hypothetical protein,,
CPE0253,19,40,18,13,211,396,204,,hypothetical protein,103xCPE0254,
CPE0254,4,17,6,10,54,102,249,,hypothetical protein,103xCPE0253,
CPE0255,20,95,33,75,34,115,315,,hypothetical protein,15xCPE0256,
CPE0256,74,150,112,308,154,192,735,,NAD-dependent deacetylase,15xCPE0255,1xCPE2087 1xCPE1582
CPE0257,20,25,12,36,63,42,324,,hypothetical protein,42xCPE0258,
CPE0258,11,12,2,7,20,17,210,,transcriptional regulator,42xCPE0257,
CPE0259,196,221,108,177,418,311,507,,CarD family transcriptional regulator,,
CPE0260,31,38,18,62,34,42,1137,,mechanosensitive ion channel MscS,70xCPE0261,
CPE0261,33,30,27,63,62,67,624,,copper homeostasis protein,70xCPE0260,
CPE0262,442,1599,347,1165,359,1111,201,,hypothetical protein,,
CPE0263,80,82,32,15,149,131,1320,,hypothetical protein,,
CPE0264,0,9,0,0,50,183,297,,hypothetical protein,,
CPE0265,38,197,116,313,53,190,678,,uracil-DNA glycosylase,,
CPE0266,10,27,7,17,119,157,2538,,beta-hexosamidase A,,
CPE0267,696,1017,1316,1972,657,1175,468,,bacterioferritin comigratory protein,,1xCPE2159 1xCPE0665 1xCPE0021 1xCPE0063 1xCPE1609 1xCPE0479
CPE0268,933,1485,955,1611,1420,1677,747,,peptidylprolyl isomerase,,
CPE0269,67,141,81,97,83,148,813,,ABC transporter,86xCPE0270,
CPE0270,53,100,67,71,81,90,1173,,ABC transporter,86xCPE0269 25xCPE0271,
CPE0271,28,61,50,51,41,78,1284,,hypothetical protein,42xCPE0272 25xCPE0270,
CPE0272,50,103,101,121,76,133,1236,,hypothetical protein,70xCPE0273 42xCPE0271,
CPE0273,101,140,119,93,140,196,1182,,ABC transporter,70xCPE0272 6xCPE0274,
CPE0274,27,44,29,24,133,145,1434,,hypothetical protein,6xCPE0273,
CPE0275,2,18,16,41,3,8,654,,haloacid dehalogenase,,
CPE0276,0,0,1,2,1,15,1350,,hydrogenase,,
CPE0277,36,35,52,97,33,37,291,,hypothetical protein,,
CPE0278,474,898,527,958,502,1217,1299,,invasion associated secreted endopeptidase,1xCPE0279,
CPE0279,8,37,22,40,18,39,771,,putative methyltransferase,39xCPE0280 1xCPE0278,
CPE0280,25,67,51,94,34,65,843,,tetrapyrrole methylase,39xCPE0279,
CPE0281,863,2070,586,3210,1586,2592,240,,AbrB family transcriptional regulator,,
CPE0282,172,199,164,56,228,336,600,,hypothetical protein,,1xCPE0244 1xCPE0566
CPE0283,35,114,54,145,64,135,876,,hypothetical protein,2xCPE0284,
CPE0284,81,169,87,93,104,166,1023,,transcriptional regulator,2xCPE0283,
CPE0285,42,68,48,99,47,71,852,,ribonuclease BN/unknown domain fusion protein,,
CPE0286,122,138,106,305,134,291,987,galE,UDP-glucose 4-epimerase,,
CPE0287,3,7,3,5,159,165,345,,phage-related single-strand DNA binding protein,,
CPE0288,749,1787,1169,6155,1515,2080,1122,,flavoprotein,,
CPE0289,6,11,9,13,11,7,3417,,endo-beta-N-acetylglucosaminidase,,
CPE0290,48,63,49,9,137,111,306,,hypothetical protein,109xCPE0291,
CPE0291,218,1149,65,517,362,1088,402,acpS,4'-phosphopantetheinyl transferase,109xCPE0290 85xCPE0292,
CPE0292,174,163,79,50,371,204,1500,,carbohydrate kinase,85xCPE0291 81xCPE0293,
CPE0293,85,78,20,15,292,268,594,,hypothetical protein,81xCPE0292,
CPE0294,484,451,411,762,552,422,243,,hypothetical protein,1683xCPE0295,1xCPE2275 1xCPE1858
CPE0295,308,429,281,627,413,454,354,,PemK family protein,1683xCPE0294,
