ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VC0011_hypothetical_protein	7224	7352	+	950	13	1.78681	16.2616	512	5	0.808857	8.60756	4412	58	6.50469	38.5623	11491	114	13.7631	72.0782	3780	50	5.55775	38.4406	4479	59	7.048	34.3654	0.5	0	0.123409	3.14873	104	3	5.65037	180.89	69	2	3.73475	55.1587	5	0	0.155358	2.32084
VC0012_chromosomal_replication_initiation_protein	7397	8815	+	185363	2439	31.4711	286.415	219321	2171	31.2763	332.831	328204	4318	43.6786	258.944	342614	3392	37.0423	193.993	261603	3442	34.7203	240.146	320620	4219	45.5417	222.057	484	15	10.7834	275.134	1929	60	9.46039	302.864	4430	137	21.6446	319.67	9070	281	25.4392	380.028
VC0013_DNA_polymerase_III_subunit_beta	8873	9973	+	172193	2266	37.6867	342.982	199815	1978	36.7322	390.891	374455	4927	64.2404	380.842	368992	3653	51.4272	269.327	238462	3138	40.7984	282.185	299218	3937	54.7885	267.144	385	12	11.0575	282.126	1632	51	10.3176	330.308	4947	153	31.1581	460.176	7999	248	28.9211	432.044
VC0014_recombination_protein_F	9991	11082	+	190090	2501	41.9469	381.754	165136	1635	30.6076	325.714	340198	4476	58.8448	348.855	276745	2740	38.8887	203.663	166072	2185	28.6476	198.144	232370	3058	42.8993	209.173	205	6	5.93632	151.462	1148	36	7.31763	234.265	2147	66	13.6342	201.364	3622	112	13.2037	197.246
VC0015_DNA_gyrase_subunit_B	11103	13520	+	454685	5983	45.2896	412.176	574886	5692	48.0969	511.829	827379	10887	64.5995	382.971	1.02E+06	10139	64.9544	340.17	756519	9954	58.9061	407.428	917154	12068	76.4294	372.662	772	24	10.0909	257.464	3149	97	9.06044	290.06	11218	347	32.1559	474.912	19474	603	32.0443	478.7
VC0016_hypothetical_protein	13876	14367	+	2425	32	1.18904	10.8213	1212	12	0.499152	5.31179	9360	123	3.59746	21.3271	13006	129	4.06098	21.2676	14266	188	5.46811	37.8206	13628	179	5.59043	27.2584	0.5	0	0.0321719	0.82085	779	24	11.0334	353.222	27693	857	390.761	5771.16	48363	1497	391.746	5852.17
VC0017_hypothetical_protein	14377	14493	+	2219	29	4.60537	41.9129	2057	20	3.58582	38.1589	2312	30	3.76124	22.2981	2122	21	2.8045	14.6874	4061	53	6.58858	45.5704	6745	89	11.7117	57.105	108	3	29.414	750.483	26	1	1.55872	49.9007	258	8	15.4093	227.581	517	16	17.7258	264.8
VC0018_16_kDa_heat_shock_protein_A	14769	15206	+	321819	4234	177.294	1613.54	342634	3392	158.548	1687.21	26710	351	11.5344	68.3802	78830	780	27.6553	144.833	44455	585	19.145	132.418	136202	1792	62.7765	306.092	55	2	3.97621	101.451	1003	31	15.9615	510.988	568	18	9.00511	132.997	990	31	9.01003	134.598
VC0019_valine--pyruvate_transaminase	15294	16550	-	44793	589	8.58589	78.1392	34271	339	5.51758	58.7161	145647	1916	21.8833	129.733	246199	2438	30.0514	157.381	183296	2412	27.465	189.964	214996	2829	34.4775	168.109	518	16	13.0295	332.442	1503	47	8.3219	266.416	777	24	4.28602	63.3004	1367	42	4.32864	64.6642
VC0020_glycyl-tRNA_synthetase_subunit_beta	16869	18935	-	236628	3114	27.5741	250.948	315758	3126	30.9055	328.885	643329	8465	58.763	348.37	834460	8262	61.9218	324.288	574775	7563	52.3582	362.139	721995	9500	70.388	343.205	1004	31	15.3529	391.723	2749	85	9.25332	296.234	4775	148	16.0127	236.493	8418	261	16.2051	242.083
VC0021_glycyl-tRNA_synthetase_subunit_alpha	18950	19942	-	100338	1320	24.3511	221.617	127918	1267	26.0754	277.485	319110	4199	60.7058	359.887	374736	3710	57.9138	303.298	209224	2753	39.6933	274.541	315724	4154	64.1048	312.569	363	11	11.5607	294.965	1472	46	10.3193	330.36	2027	63	14.1568	209.082	3749	116	15.0306	224.537
VC0022_hypothetical_protein	20235	20837	+	25462	335	10.1827	92.6712	18896	187	6.34724	67.545	31901	420	10.0002	59.2851	32418	321	8.25578	43.236	4782	63	1.49496	10.34	3217	42	1.07634	5.24813	0.5	0	0.0262399	0.669497	798	25	9.21849	295.119	104	3	1.1969	17.6771	222	7	1.46666	21.91
VC0023_NADH_dehydrogenase_subunit_II-related_protein	20943	21200	+	41022	540	38.4281	349.73	79441	787	62.5062	665.168	68975	908	50.6477	300.259	130385	1291	77.7791	407.334	155743	2049	114.049	788.83	156290	2056	122.488	597.239	0.5	0	0.0614646	1.56824	305	9	8.25315	264.215	493	15	13.2903	196.286	850	26	13.154	196.504
VC0024_sulfur_transfer_protein_SirA	21287	21535	-	11216	148	10.8881	99.0912	3326	33	2.71195	28.8596	7343	97	5.58757	33.1253	7355	73	4.54673	23.8115	3601	47	2.73268	18.9008	3557	47	2.88886	14.0858	46	1	5.85995	149.514	345	11	9.67432	309.712	83	3	2.31872	34.2453	39	1	0.62544	9.34325
VC0025_hypothetical_protein	21656	21856	+	38910	512	46.8378	426.265	10209	101	10.322	109.843	153302	2017	144.65	857.542	93493	926	71.6667	375.323	26360	347	24.8046	171.563	40667	535	40.955	199.693	23	1	3.63317	92.6986	484	15	16.8294	538.774	895	28	31.0038	457.897	1153	36	22.9283	342.519
VC0026_zinc-binding_alcohol_dehydrogenase	22028	23008	-	69115	909	16.979	154.524	105914	1049	21.8544	232.566	54622	719	10.5182	62.3562	209492	2074	32.7725	171.632	114464	1506	21.9816	152.038	190193	2503	39.0898	190.598	110	3	3.54613	90.4778	1026	32	7.28072	233.084	6498	201	45.9384	678.466	12961	401	52.5999	785.773
VC0027_threonine_dehydratase	23256	24788	-	107275	1412	16.8579	153.422	64186	636	8.47214	90.1574	75187	989	9.26158	54.9062	92554	916	9.26201	48.5057	275226	3621	33.8102	233.851	341895	4499	44.9499	219.171	920	29	18.9722	484.066	2113	65	9.59166	307.066	1823	56	8.24423	121.759	2822	87	7.32607	109.442
VC0028_dihydroxy-acid_dehydratase	24792	26633	-	126597	1666	16.5552	150.667	93771	928	10.2997	109.606	112266	1477	11.5079	68.2232	111555	1105	9.28975	48.651	331634	4364	33.9018	234.484	360878	4748	39.4822	192.511	1347	42	23.1154	589.779	3962	123	14.9663	479.128	4327	134	16.2838	240.496	8051	249	17.3928	259.825
VC0029_branched-chain_amino_acid_aminotransferase	26643	27602	-	81190	1068	20.3821	185.495	71606	709	15.0988	160.676	103921	1367	20.4496	121.233	113790	1127	18.1909	95.2668	263741	3470	51.7578	357.987	286663	3772	60.2071	293.564	698	22	22.9945	586.695	2164	67	15.6925	502.377	2872	89	20.7486	306.437	4791	148	19.8692	296.82
VC0030_acetolactate_synthase_2_regulatory_subunit	27593	27877	-	26174	344	22.1879	201.93	23682	234	16.8621	179.44	24872	327	16.527	97.9784	46588	461	25.1492	131.708	69088	909	45.7827	316.659	94155	1239	66.7759	325.593	0.5	0	0.0556211	1.41915	461	14	11.2885	361.388	342	11	8.34315	123.22	355	11	4.97144	74.2668
VC0031_acetolactate_synthase_2_catalytic_subunit	27889	29535	-	173382	2281	25.3594	230.793	160351	1588	19.6994	209.634	340701	4483	39.0611	231.57	229563	2273	21.3816	111.977	287793	3787	32.9054	227.593	394773	5194	48.3073	235.542	270	8	5.18229	132.224	2459	76	10.3892	332.598	1574	49	6.62517	97.8475	2515	78	6.07688	90.7806
VC0032_ComM-related_protein	30069	31592	+	2772	36	0.438186	3.98788	2568	25	0.340963	3.6284	3927	52	0.486589	2.88469	7176	71	0.722356	3.78302	4766	63	0.58894	4.07345	7554	99	0.999015	4.8711	0.5	0	0.0103719	0.264634	902	28	4.1187	131.855	58	2	0.263846	3.89675	98	3	0.255917	3.82306
VC0033_putative_acyltransferase	31682	32566	+	61362	807	16.7114	152.088	30654	304	7.01208	74.6199	47683	627	10.1792	60.3461	38336	380	6.64849	34.8186	22878	301	4.8706	33.6879	35520	467	8.09311	39.4612	0.5	0	0.0178692	0.455925	455	14	3.57942	114.591	304	9	2.38256	35.1881	448	14	2.01557	30.11
VC0034_thiol:disulfide_interchange_protein	32644	33246	-	53620	706	21.4435	195.155	59756	592	20.0723	213.602	131442	1730	41.2039	244.273	163778	1622	41.7088	218.432	67076	883	20.9695	145.037	103101	1357	34.4954	168.196	928	29	48.7012	1242.59	1724	53	19.9156	637.576	1899	59	21.855	322.777	3084	95	20.3747	304.371
VC0035_serine/threonine_protein_kinase	33277	34263	-	16949	223	4.1384	37.6631	21019	208	4.31069	45.8728	49972	658	9.56425	56.7006	42344	419	6.58391	34.4803	18027	237	3.44083	23.7988	21758	286	4.44464	21.6716	294	9	9.42016	240.351	1337	41	9.42991	301.888	886	27	6.22557	91.9457	1188	37	4.79195	71.5854
VC0036_FixG-related_protein	34311	35798	-	103714	1365	16.7916	152.818	179810	1780	24.452	260.209	85985	1131	10.9122	64.6918	126585	1253	13.0509	68.3483	61632	811	7.80032	53.9515	80959	1065	10.966	53.4692	112	4	2.37955	60.7131	1937	60	9.05882	290.008	8985	278	41.8629	618.275	17973	556	48.0709	718.116
VC0037_hypothetical_protein	36152	36430	-	25217	332	21.838	198.745	14781	146	10.7515	114.414	25931	341	17.6026	104.355	81271	805	44.8187	234.718	28797	379	19.4948	134.837	37313	491	27.034	131.815	70	2	7.95502	202.968	477	15	11.9324	382.001	163	5	4.06224	59.9953	345	11	4.93568	73.7325
VC0038_hypothetical_protein	36527	36694	-	126415	1663	182.241	1658.56	168083	1664	203.526	2165.84	47562	626	53.7458	318.626	82658	818	75.8817	397.397	197105	2593	222.125	1536.35	186837	2458	225.341	1098.74	1491	47	282.065	7196.75	2054	64	85.5337	2738.26	1319	41	54.7206	808.171	1771	55	42.1769	630.067
VC0039_SpoOM-related_protein	36928	37770	+	29520	388	8.44052	76.8162	28405	281	6.82173	72.5943	85067	1119	19.0656	113.028	101781	1008	18.532	97.0534	102733	1352	22.9623	158.82	123751	1628	29.6027	144.34	39	1	1.46332	37.336	991	31	8.18493	262.031	2839	88	23.3601	345.007	5793	179	27.363	408.767
VC0040_hemolysin,_putative	37848	38495	+	20313	267	7.55848	68.7889	17983	178	5.62043	59.8105	270253	3556	78.8256	467.309	244860	2424	58.0206	303.857	166902	2196	48.5483	335.788	119706	1575	37.2655	181.703	122	4	5.95722	151.996	986	31	10.598	339.284	667	21	7.1424	105.486	1233	38	7.57934	113.225
VC0041_hypothetical_protein	38534	39190	-	18086	238	6.63749	60.407	22562	223	6.95481	74.0105	61532	810	17.701	104.939	89697	888	20.9625	109.782	49203	647	14.1158	97.6328	67294	885	20.6618	100.745	28	1	1.34847	34.4056	440	14	4.66447	149.328	477	15	5.03775	74.4028	633	20	3.83771	57.3304
VC0042_potassium_uptake_protein_TrkH	39103	40548	-	26654	351	4.44078	40.4151	38173	378	5.34195	56.8471	76020	1000	9.92799	58.857	76158	754	8.08009	42.3159	44592	587	5.80772	40.1696	49001	645	6.83018	33.3033	161	5	3.52003	89.8118	1925	60	9.26437	296.588	1215	38	5.82547	86.0366	1475	46	4.05973	60.647
VC0043_potassium_transporter_peripheral_membrane_component	40560	41936	-	61091	804	10.6887	97.2764	89258	884	13.1172	139.588	149009	1961	20.436	121.152	202181	2002	22.5263	117.972	112723	1483	15.4174	106.636	143887	1893	21.0619	102.696	263	8	6.03845	154.068	1678	52	8.4806	271.497	2075	64	10.4477	154.303	3006	93	8.68847	129.794
VC0044_sun_protein	41998	43302	-	44872	590	8.28443	75.3957	71473	708	11.0835	117.946	180426	2374	26.111	154.796	136492	1351	16.0472	84.04	92817	1221	13.3957	92.6527	110105	1449	17.0069	82.9238	207	6	5.01511	127.958	1532	47	8.17023	261.561	844	26	4.48422	66.2277	1201	37	3.66301	54.7205
VC0045_methionyl-tRNA_formyltransferase	43334	44281	-	54667	719	13.8976	126.481	53445	529	11.4122	121.444	168733	2220	33.6241	199.337	264358	2617	42.7968	224.129	95632	1258	19.0051	131.45	153482	2020	32.6439	159.169	371	12	12.3769	315.791	584	18	4.28861	137.295	786	24	5.75036	84.9273	1388	43	5.82924	87.0812
VC0046_peptide_deformylase	44299	44808	-	129835	1708	61.41	558.885	94705	938	37.6242	400.382	275087	3620	101.989	604.631	435214	4309	131.085	686.501	207203	2726	76.6117	529.891	321333	4228	127.155	619.994	32	1	1.98619	50.6766	963	30	13.1571	421.211	1545	48	21.0297	310.589	2935	91	22.9331	342.59
VC0047_hypothetical_protein	44900	46075	+	10602	140	2.17228	19.7696	9690	96	1.66762	17.7462	23055	303	3.70278	21.9515	39080	387	5.099	26.7038	13750	181	2.20233	15.2326	22830	300	3.91348	19.0817	99	3	2.66186	67.9161	840	26	4.97158	159.16	483	15	2.84794	42.0614	1113	34	3.7673	56.2785
VC0048_smf_protein	46075	47190	+	27612	363	5.96194	54.259	74440	737	13.5003	143.665	80156	1055	13.5663	80.4265	459560	4550	63.1882	330.92	166154	2186	28.0448	193.974	400964	5276	72.4311	353.167	68	2	1.92673	49.1597	1514	47	9.44287	302.303	1178	36	7.31969	108.105	2336	72	8.33241	124.475
VC0049_hypothetical_protein	47193	47669	+	50836	669	25.7116	233.998	122423	1212	52.0077	553.447	308734	4062	122.399	725.63	784249	7765	252.59	1322.83	480429	6321	189.95	1313.8	611429	8045	258.722	1261.5	252	8	16.7256	426.745	1586	49	23.1712	741.801	1553	48	22.6041	333.841	2947	91	24.6233	367.839
VC0050_DNA_topoisomerase_I-related_protein	47679	48251	+	17045	224	7.17407	65.2904	28909	286	10.22	108.757	157501	2072	51.9623	308.053	214729	2126	57.5524	301.405	121196	1595	39.8758	275.804	118608	1561	41.765	203.642	112	4	6.186	157.833	759	23	9.22782	295.418	350	11	4.2393	62.6104	554	17	3.852	57.5438
VC0051_phosphoribosylaminoimidazole_carboxylase_ATPase_subunit	48324	49457	-	106528	1402	22.636	206.007	26557	263	4.73981	50.4393	93023	1224	15.4939	91.854	36692	363	4.9649	26.0015	53761	707	8.93006	61.7654	69883	920	12.4233	60.5747	323	10	9.00659	229.799	954	30	5.8556	187.46	1686	52	10.3098	152.266	2892	90	10.1518	151.654
VC0052_phosphoribosylaminoimidazole_carboxylase_catalytic_subunit	49461	49946	-	71986	947	35.7331	325.203	20188	200	8.41712	89.5718	91052	1198	35.4282	210.032	42764	423	13.5178	70.7934	28920	381	11.2221	77.6184	34516	454	14.3342	69.8922	300	9	19.5419	498.603	361	11	5.17629	165.713	2059	64	29.4128	434.4	3574	111	29.3079	437.822
VC0053_hypothetical_protein	49961	50086	+	203	3	0.390977	3.55824	482	5	0.779738	8.29768	769	10	1.16096	6.88263	1318	13	1.61649	8.46568	337	4	0.507384	3.50936	188	2	0.30293	1.47706	0.5	0	0.126371	3.2243	66	2	3.67187	117.551	0.5	0	0.0277129	0.409293	26	1	0.827248	12.358
VC0054_Sua5/YciO/YrdC_family_protein	50104	50670	+	14982	197	6.37262	57.9965	27293	270	9.75094	103.766	60075	790	20.0299	118.745	85442	846	23.1432	121.202	47356	623	15.7462	108.91	68916	907	24.5244	119.579	0.5	0	0.0279088	0.71208	609	19	7.48263	239.548	272	8	3.32947	49.1731	343	11	2.41018	36.005
VC0055_coproporphyrinogen_III_oxidase	50689	51606	+	19808	261	5.20039	47.3282	25244	250	5.56674	59.2391	61519	809	12.6602	75.0547	112118	1110	18.7445	98.1663	53915	709	11.0651	76.5329	74836	985	16.4375	80.1477	325	10	11.197	285.686	777	24	5.89257	188.644	836	26	6.31625	93.285	1200	37	5.20457	77.7494
VC0056_shikimate_5-dehydrogenase	51668	52504	+	26952	355	7.76157	70.6372	19943	197	4.82387	51.3339	112369	1479	25.3654	150.376	176429	1747	32.3543	169.442	86548	1139	19.4835	134.759	150699	1983	36.3077	177.033	0.5	0	0.0188952	0.482102	856	27	7.12067	227.96	413	13	3.42268	50.5497	919	28	4.37202	65.3122
VC0057_hypothetical_protein	52501	52776	+	5795	76	5.07324	46.171	3588	36	2.63834	28.0763	21571	284	14.8026	87.7557	35521	352	19.8025	103.707	18398	242	12.5908	87.0855	27741	365	20.3181	99.0693	64	2	7.3525	187.596	233	7	5.89219	188.632	0.5	0	0.0125968	0.186042	186	6	2.69	40.1851
VC0058_carbonic_anhydrase	52757	53311	-	28792	379	12.512	113.87	24409	242	8.90947	94.8113	48350	636	16.4698	97.6393	168450	1668	46.6154	244.128	78578	1034	26.6937	184.629	100561	1323	36.5607	178.266	142	4	8.09779	206.611	415	13	5.20945	166.774	342	11	4.27699	63.1671	854	26	6.13085	91.5868
VC0059_hypothetical_protein	53497	53637	+	142108	1870	244.374	2224.02	28644	284	41.373	440.276	162975	2144	219.682	1302.36	120017	1188	131.427	688.289	23534	310	31.6362	218.814	25526	336	36.724	179.062	208	7	46.9378	1197.6	739	23	36.7088	1175.19	1746	54	86.4049	1276.12	3248	101	92.27	1378.39
VC0060_camphor_resistance_protein_CrcB	59356	59736	+	23751	313	15.0475	136.945	20961	208	11.1542	118.699	55376	729	27.5004	163.033	107994	1069	43.5697	228.177	38178	502	18.908	130.779	51452	677	27.2718	132.975	0.5	0	0.0415694	1.06062	585	18	10.706	342.739	1043	32	19.0162	280.851	1152	36	12.0571	180.117
VC0061_thiamine_biosynthesis_protein_ThiC	59988	61925	+	77573	1021	9.64153	87.7465	198476	1965	20.72	220.495	233531	3073	22.7518	134.882	27770	275	2.19794	11.5107	717229	9437	69.6859	481.988	883163	11621	91.8345	447.776	157	5	2.5607	65.3349	1720	53	6.17521	197.692	8420	261	30.1165	444.792	12869	398	26.4233	394.73
VC0062_thiamine-phosphate_pyrophosphorylase	61929	63251	+	59446	782	10.8257	98.5235	134687	1334	20.6018	219.237	110907	1459	15.8317	93.8567	35211	349	4.08334	21.3847	469021	6171	66.7694	461.816	727872	9577	110.897	540.721	265	8	6.33289	161.581	621	19	3.26673	104.581	3604	112	18.8876	278.951	5538	171	16.6607	248.889
VC0063_thiF_protein	63238	64014	+	27948	368	8.67069	78.911	87537	867	22.8109	242.745	42415	558	10.3148	61.1499	17710	175	3.49885	18.3237	282256	3714	68.4539	473.467	373395	4913	96.9173	472.56	81	3	3.2977	84.1392	424	13	3.79977	121.645	2126	66	18.9812	280.334	4076	126	20.8903	312.074
VC0064_sulfur_carrier_protein_ThiS	63957	64214	+	7414	98	6.94519	63.2074	20521	203	16.1465	171.825	10808	142	7.93621	47.049	8091	80	4.82656	25.277	98360	1294	72.0281	498.188	146615	1929	114.905	560.267	0.5	0	0.0614646	1.56824	57	2	1.54239	49.3779	1073	33	28.926	427.21	2076	64	32.1267	479.931
VC0065_thiazole_synthase	64220	64990	+	16541	218	5.17173	47.0673	35534	352	9.33179	99.3055	24782	326	6.07361	36.0067	27140	269	5.40366	28.2993	250174	3292	61.146	422.921	306545	4033	80.1859	390.979	229	7	9.39578	239.729	803	25	7.25234	232.175	2554	79	22.9801	339.395	4328	134	22.3547	333.95
VC0066_thiamine_biosynthesis_protein_ThiH	64987	66099	+	39708	522	8.59683	78.2387	55256	547	10.0482	106.929	41264	543	7.00274	41.5149	32537	322	4.48581	23.4925	355731	4681	60.2052	416.414	512369	6742	92.8053	452.51	64	2	1.81829	46.3928	422	13	2.63913	84.4887	2014	62	12.5481	185.323	3313	103	11.8492	177.012
VC0067_aminopeptidase_P	66324	68117	-	45019	592	6.04478	55.0129	51972	515	5.86139	62.3748	159379	2097	16.7746	99.4463	270145	2675	23.0986	120.969	255456	3361	26.8134	185.457	352588	4639	39.6079	193.124	360	11	6.34322	161.844	2079	64	8.06357	258.146	1423	44	5.49853	81.2081	2801	87	6.21306	92.8149
VC0068_LysR_family_transcriptional_regulator	68250	69233	-	5185	68	1.26987	11.557	6228	62	1.28117	13.6337	14808	195	2.84279	16.8531	43473	430	6.78008	35.5077	17500	230	3.35044	23.1736	17268	227	3.53821	17.252	27	1	0.867757	22.1404	1006	31	7.11701	227.843	162	5	1.14178	16.8631	380	12	1.53746	22.9676
VC0069_multidrug_resistance_protein,_putative	69296	70498	+	27398	361	5.48756	49.9417	24415	242	4.10737	43.7091	45521	599	7.14675	42.3687	81664	809	10.4159	54.5485	23840	314	3.73266	25.8172	17181	226	2.87898	14.0376	33	1	0.867356	22.1302	947	29	5.47897	175.403	2873	89	16.5597	244.572	5320	165	17.6027	262.961
VC0070_hypothetical_protein	70602	70886	+	33093	435	28.0532	255.309	21452	212	15.2743	162.543	72936	960	48.4646	287.317	94210	933	50.8566	266.339	18881	248	12.5119	86.5396	37770	497	26.787	130.611	54	2	6.00708	153.268	227	7	5.55854	177.95	371	11	9.05061	133.669	619	19	8.66852	129.496
VC0071_DNA-binding_transcriptional_regulator_AsnC	70975	71436	-	17498	230	9.13803	83.1641	27294	270	11.9723	127.405	24957	328	10.2163	60.566	61453	608	20.4367	107.028	26200	345	10.6959	73.979	42431	558	18.5386	90.3925	0.5	0	0.0342655	0.874267	662	20	9.98643	319.704	692	21	10.3999	153.596	807	25	6.96218	104.006
VC0072_sensory_box/GGDEF_family_protein	71512	73818	+	57104	751	5.96173	54.257	44693	443	3.91915	41.7061	178606	2350	14.6163	86.6512	94659	937	6.2932	32.9579	49589	652	4.04709	27.992	58316	767	5.09358	24.8358	28	1	0.383607	9.78755	1709	53	5.1539	164.996	781	24	2.34646	34.655	1757	54	3.0303	45.2686
VC0073_hypothetical_protein	73785	74663	+	33498	441	9.18521	83.5936	31968	317	7.36263	78.3503	92928	1223	19.9735	118.41	67762	671	11.8321	61.9652	34627	456	7.42228	51.3368	38945	512	8.93412	43.5619	287	9	10.327	263.489	686	21	5.43354	173.949	449	14	3.54302	52.3271	911	28	4.12664	61.6466
VC0074_hypothetical_protein	74781	75170	+	16429	216	10.1678	92.5359	10762	107	5.59442	59.5337	41233	543	20.0031	118.586	30464	302	12.0062	62.8773	28136	370	13.6122	94.1501	46083	606	23.8608	116.343	201	6	16.3243	416.506	459	14	8.20571	262.696	306	9	5.44997	80.4909	470	15	4.8053	71.7849
VC0075_MadN_protein	75266	76153	-	12452	164	3.37972	30.7584	20771	206	4.73528	50.3911	22665	298	4.82207	28.5871	78366	776	13.5448	70.935	55123	725	11.6957	80.8942	50272	661	11.4156	55.6612	88	3	3.13435	79.9713	1707	53	13.3833	428.451	1157	36	9.03716	133.47	1474	46	6.60916	98.7322
VC0076_universal_stress_protein_A	76210	76635	-	187309	2465	106.105	965.647	350407	3469	166.723	1774.2	55137	725	24.4825	145.142	336080	3328	121.233	634.907	486062	6396	215.238	1488.71	423143	5568	200.536	977.796	291	9	21.6318	551.924	2422	75	39.6313	1268.75	6558	203	106.907	1578.91	9842	305	92.1016	1375.88
