Gene.ID	Gene.Symbol	24hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	1hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	1hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	Log2(24hpi_CtE_Hep2_MOI_1_rRNAdep/1hpi_CtE_Hep2_MOI_1_rRNAdep)
CT138	NOT FOUND	1917	0.3115965	14	0.3427030	-0.1372798	microsomal dipeptidase
CT139	oppA_1	928	0.1200665	4	0.1787666	-0.5742436	oligopeptide binding protein
CT140	ypdP	1399	0.3120231	22	0.8034577	-1.3645691	hypothetical protein
CT141	secA_1	1356	0.4932147	9	0.5776169	-0.2278971	protein translocase
CTt03	tRNAThr_1	205	0.4933542	4	1.0958423	-1.1513444	tRNA-Thr
CTt04	tRNATyr	150	0.3017851	2	0.5710843	-0.9201821	tRNA-Tyr
CT142	NOT FOUND	5042	0.9570980	8	0.2474236	1.9516835	hypothetical protein
CT143	NOT FOUND	3045	0.5830988	15	0.3251254	0.8427441	hypothetical protein
CT144	NOT FOUND	2085	0.3957407	7	0.1415961	1.4827739	hypothetical protein
CT145	NOT FOUND	3798	0.3403719	4	0.0353350	3.2679421	Serine/threonine protein kinase
CT146	ligA	2682	0.2235270	9	0.0884996	1.3367062	NAD-dependent DNA ligase LigA
CT147	NOT FOUND	4986	0.1843728	1054	5.9287151	-5.0070205	hypothetical protein
CT148	mhpA	2868	0.3083980	44	0.7583748	-1.2981178	FAD-dependent monooxygenase
CT149	NOT FOUND	256	0.0530578	16	0.4239340	-2.9982029	hydrolase
CT150	rpmG	1669	1.9240795	42	7.9545184	-2.0476062	50S ribosomal protein L33
CT151	NOT FOUND	4923	0.5418648	58	1.0135304	-0.9033846	hypothetical protein
CT152	ycfV	603	0.1459034	4	0.0961548	0.6015827	ABC transporter ATPase
CT153	NOT FOUND	4282	0.2819938	32	0.3303654	-0.2283992	MAC/perforin family protein
CT154	NOT FOUND	300	0.0477845	2	0.0411458	0.2157976	phospholipase D endonuclease superfamily protein
CT155	NOT FOUND	270	0.0496864	0	0.0000000	18.9224915	phospholipase D endonuclease superfamily protein
CT156	NOT FOUND	83	0.0466712	0	0.0000000	18.8321730	hypothetical protein
CT157	NOT FOUND	306	0.0419913	10	0.1706938	-2.0232481	phospholipase D endonuclease superfamily protein
CT158	NOT FOUND	331	0.0772002	1	0.0227312	1.7639307	phospholipase D endonuclease superfamily protein
CT159	NOT FOUND	295	0.0592742	4	0.0857412	-0.5325842	hypothetical protein
CT160	NOT FOUND	273	0.0922709	0	0.0000000	19.8155162	hypothetical protein
CT161	NOT FOUND	268	0.0633854	0	0.0000000	19.2737910	hypothetical protein
CT162	NOT FOUND	15	0.0113407	0	0.0000000	16.7911502	hypothetical protein
CT163	NOT FOUND	652	0.0613768	4	0.1390407	-1.1797418	hypothetical protein
CT164	NOT FOUND	252	0.1412877	0	0.0000000	20.4302044	hypothetical protein
CT165	NOT FOUND	612	0.2412217	0	0.0000000	21.2019283	hypothetical protein
CT166	NOT FOUND	638	0.0562102	0	0.0000000	19.1004724	hypothetical protein
CT167	NOT FOUND	1085	0.1339931	0	0.0000000	20.3537273	hypothetical protein
CT168	NOT FOUND	182	0.0979699	0	0.0000000	19.9019790	hypothetical protein
CT169	trpR	3253	1.8843763	46	3.8961373	-1.0479575	Trp operon repressor
CT170	trpB	562	0.0804804	16	0.2776825	-1.7867266	tryptophan synthase subunit beta
CT171	trpA	779	0.1661770	12	0.2955196	-0.8305331	tryptophan synthase subunit alpha
CT172	NOT FOUND	116	0.0310653	0	0.0000000	18.2449445	hypothetical protein
CT172.1	NOT FOUND	55	0.0519960	0	0.0000000	18.9880411	hypothetical protein
CT173	NOT FOUND	75	0.0470209	0	0.0000000	18.8429426	hypothetical protein
CT174	NOT FOUND	206	0.0679207	0	0.0000000	19.3734918	hypothetical protein
CT175	oppA_2	1168	0.1222103	0	0.0000000	20.2209345	oligopeptide binding protein permease
CT176	dsbB	1117	0.4365204	0	0.0000000	22.0576176	putative disulfide oxidoreductase
CT177	dsbG	5887	1.3205647	6	0.1673567	2.9801568	disulfide bond chaperone
CT178	NOT FOUND	4895	0.6741523	4	0.1271590	2.4064410	hypothetical protein
CT179	NOT FOUND	1686	0.5240413	4	0.1270818	2.0439231	hypothetical protein
CT180	tauB	5205	1.2198618	47	1.8237690	-0.5802053	nitrate/iron ABC transporter ATPase
CTt05	tRNAIle	1088	2.5075409	11	4.2829659	-0.7723370	tRNA-Ile
CTt06	tRNAAla_1	555	1.3443191	4	1.5554314	-0.2104392	tRNA-Ala
CT181	NOT FOUND	1319	0.2739770	20	0.5625632	-1.0379604	hypothetical protein
CT182	kdsB	1971	0.4084288	61	1.8381711	-2.1701147	3-deoxy-manno-octulosonate cytidylyltransferase
CT183	pyrG	2187	0.2018041	74	1.0971962	-2.4427940	CTP synthetase
CT184	yqgF	758	0.2597927	19	0.9587896	-1.8838535	Holliday junction resolvase-like protein
CT185	zwf	7520	0.7713636	14	0.3303760	1.2233022	glucose-6-phosphate 1-dehydrogenase
CT186	devB	2458	0.5176950	12	0.2728696	0.9238907	6-phosphogluconolactonase
CT187	dnaX_1	2129	0.4008897	1	0.0271478	3.8842982	DNA polymerase III subunit delta'
CT188	tmk	1792	0.4769610	0	0.0000000	22.1854399	thymidylate kinase
CT189	gyrA_1	15204	0.9312246	4	0.0644763	3.8522883	DNA gyrase subunit A
CT190	gyrB	10527	0.6962826	4	0.0948240	2.8763488	DNA gyrase subunit B
CT191	NOT FOUND	1097	0.5034484	2	0.3262108	0.6260394	hypothetical protein
CT192	NOT FOUND	199	0.0414903	0	0.0000000	18.6624146	hypothetical protein
CT193	tgt	772	0.1099541	2	0.0291300	1.9163238	queuine tRNA-ribosyltransferase
CT194	mgtE	2856	0.3181555	2	0.0230690	3.7857047	Mg2  transporter
CT195	NOT FOUND	617	0.1037189	6	0.1098853	-0.0833196	hypothetical protein
CT196	NOT FOUND	172	0.0852549	33	2.5439826	-4.8991612	hypothetical protein
CT197	gcp_1	1374	0.2276863	7	0.2475383	-0.1206043	putative DNA-binding/iron metalloprotein/AP endonuclease
CT198	oppA_3	2125	0.2244070	4	0.0418709	2.4220978	oligopeptide binding protein
CT199	oppB_1	1414	0.2388247	2	0.0346035	2.7869622	oligopeptide permease
CT200	oppC_1	1298	0.2514719	13	0.2679441	-0.0915349	oligopeptide permease
CT201	oppD	1011	0.1958854	7	0.1367958	0.5179860	oligopeptide transport ATPase
CT202	oppF	696	0.1523713	1	0.0219063	2.7981735	oligopeptide transport ATPase
CT203	NOT FOUND	1867	0.4111725	0	0.0000000	21.9713123	hypothetical protein
CT204	ybhI	2012	0.2326636	0	0.0000000	21.1498141	dicarboxylate translocator
CT205	pfkA_1	2561	0.2504332	4	0.0570397	2.1343875	diphosphate--fructose-6-phosphate 1-phosphotransferase
CT206	NOT FOUND	1030	0.2007699	2	0.1348646	0.5740312	acyltransferase family protein
CT207	pfkA_2	3797	0.3643476	10	0.1169335	1.6396272	diphosphate--fructose-6-phosphate 1-phosphotransferase
CTt07	tRNAMet_3	437	1.0755439	2	0.4404931	1.2878751	tRNA-Met
CTt08	tRNAMet_1	187	0.4911260	2	0.4404931	0.1569738	tRNA-Met
CT208	gseA	1308	0.1867613	0	0.0000000	20.8327641	3-deoxy-D-manno-octulosonic-acid transferase
CT209	leuS	3847	0.2563238	26	0.2689345	-0.0692873	leucyl-tRNA synthetase
CT210	hemL	3112	0.4019325	0	0.0000000	21.9385218	glutamate-1-semialdehyde aminotransferase
CT211	NOT FOUND	1533	0.4530795	0	0.0000000	22.1113328	hypothetical protein
CT212	NOT FOUND	1987	0.7084627	2	0.0729228	3.2802500	hypothetical protein
CT213	rpiA	984	0.2273713	0	0.0000000	21.1166187	ribose-5-phosphate isomerase A
CT214	NOT FOUND	3071	0.2947440	140	2.0025953	-2.7643367	hypothetical protein
CT215	dhnA	5027	0.7574306	22	0.3707435	1.0306923	fructose-bisphosphate aldolase
CT216	xasA	5061	0.5616539	16	0.2868590	0.9693396	glutamate/gamma-aminobutyrate antiporter
CT217	ydaO	1205	0.2848883	34	1.5670574	-2.4595894	PP-loop superfamily ATPase
CT218	surE	4466	0.8601125	12	0.3604337	1.2547914	stationary phase survival protein SurE
CT219	ubiA	754	0.1390955	1	0.0260726	2.4154694	prenyltransferase
CT220	ubiX	961	0.2736820	22	0.9209481	-1.7506192	aromatic acid decarboxylase
CT221	yqfU	6549	1.2378190	209	5.5615580	-2.1676890	hypothetical protein
CTt09	tRNAAsp	1013	2.5733070	32	8.6015292	-1.7409698	tRNA-Asp
CTt10	tRNAVal_1	385	0.9993738	14	3.4298726	-1.7790589	tRNA-Val
CT221.1	NOT FOUND	154	0.1837725	0	0.0000000	20.8094895	hypothetical protein
CT222	NOT FOUND	314	0.1413103	0	0.0000000	20.4304352	hypothetical protein
CT223	NOT FOUND	2606	0.5077756	2	0.1408364	1.8501708	hypothetical protein
CT224	NOT FOUND	355	0.1326396	0	0.0000000	20.3390801	hypothetical protein
CT225	NOT FOUND	902	0.4061425	1	0.0441687	3.2008897	hypothetical protein
CT226	NOT FOUND	418	0.1303887	8	0.2455480	-0.9131863	hypothetical protein
CT227	NOT FOUND	585	0.2399452	10	0.7662761	-1.6751594	hypothetical protein
CT228	NOT FOUND	5490	1.4957626	400	16.4994360	-3.4634632	hypothetical protein
CT229	NOT FOUND	780	0.2067567	1080	40.5301549	-7.6149193	hypothetical protein
CT230	NOT FOUND	691	0.0957154	10	0.1661803	-0.7959264	neutral amino acid (glutamate) transporter
CT231	NOT FOUND	1385	0.1508512	10	0.1407963	0.0995167	sodium-dependent amino acid transporter
CT232	incB	516	0.2503784	18	1.2485229	-2.3180402	inclusion membrane protein B
CT233	incC	435	0.1374973	13	0.5535186	-2.0092287	inclusion membrane protein C
CT234	NOT FOUND	1832	0.1005172	119	0.9809473	-3.2867335	hypothetical protein
CT235	NOT FOUND	586	0.2192908	14	0.8920120	-2.0242178	CRP family transcriptional regulator
CT236	acpP	10768	7.3478258	15	1.1396536	2.6887220	acyl carrier protein
CT237	fabG	3121	0.7024674	2	0.0436365	4.0088240	3-ketoacyl-(acyl-carrier-protein) reductase
CT238	fabD	1739	0.3285092	2	0.0351634	3.2237873	acyl-carrier-protein S-malonyltransferase
CT239	fabH	3519	0.6418889	10	0.2639121	1.2822661	3-oxoacyl-(acyl carrier protein) synthase III
CT240	recR	682	0.1972788	0	0.0000000	20.9118045	recombination protein RecR
CT241	yaeT	22226	1.4661916	21	0.2158352	2.7640716	OMP85 family membrane protein
CT242	NOT FOUND	6904	2.0585513	3	0.1078477	4.2545621	OmpH-like Outer membrane protein
CT243	lpxD	7860	1.1770413	0	0.0000000	23.4886616	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
CT244	NOT FOUND	868	0.1186959	0	0.0000000	20.1788387	hypothetical protein
CT245	pdhA	2343	0.3559172	14	0.3320488	0.1001464	pyruvate dehydrogenase E1 component alpha subunit
CT246	pdhB	1702	0.2638467	2	0.0330258	2.9980345	pyruvate dehydrogenase E1 component beta subunit
CT247	pdhC	2252	0.2743587	2	0.0252686	3.4406457	branched-chain alpha-keto acid dehydrogenase subunit E2
CT248	glgP	7635	0.4969718	2	0.0193865	4.6800397	glycogen phosphorylase
CT249	NOT FOUND	532	0.2598130	49	4.1715625	-4.0050432	hypothetical protein
CT250	dnaA	3175	0.3650433	10	0.2002137	0.8665269	chromosomal replication initiation protein
CT251	NOT FOUND	13624	0.9102965	2	0.0137887	6.0447782	putative inner membrane protein translocase component YidC
CT252	lgt	1342	0.2791829	8	0.1772765	0.6552093	prolipoprotein diacylglyceryl transferase
CT253	NOT FOUND	4480	1.0970247	2	0.0731482	3.9066298	hypothetical protein
CT254	NOT FOUND	2123	0.4339380	4	0.2970169	0.5469439	hypothetical protein
CT255	NOT FOUND	666	0.2680949	0	0.0000000	21.3543123	hypothetical protein
CT256	NOT FOUND	2295	0.2941956	0	0.0000000	21.4883442	hypothetical protein
CT257	NOT FOUND	1875	0.2538055	0	0.0000000	21.2752919	hypothetical protein
CT258	yhfO	2336	0.3399576	0	0.0000000	21.6969234	NifS family pyridoxal phosphate-dependent protein
CT259	NOT FOUND	1014	0.2368843	0	0.0000000	21.1757512	PP2C phosphatase family protein
CT260	NOT FOUND	2337	0.7351265	2	0.0662530	3.4719348	hypothetical protein
CT261	dnaQ_1	2479	0.5658369	5	0.1165826	2.2790338	DNA polymerase III subunit epsilon
CT262	NOT FOUND	1419	0.2990810	7	0.1479737	1.0151955	hypothetical protein
CT263	NOT FOUND	1190	0.3374440	10	0.6915279	-1.0351395	hypothetical protein
CT264	msbA	4730	0.3933655	113	1.3639646	-1.7938639	transport ATP binding protein
CT265	accA	5465	0.8974944	387	9.4109078	-3.3903585	acetyl-CoA carboxylase carboxyltransferase subunit alpha
CT266	NOT FOUND	6855	0.9316785	2	0.0401015	4.5381041	hypothetical protein
CT267	ihfA	23354	12.5513774	4	0.2640148	5.5710831	integration host factor alpha-subunit
CT268	amiA	4492	0.9733153	14	0.3115115	1.6436218	N-acetylmuramoyl-L-alanine amidase
CT269	murE	14423	1.6138973	9	0.1112174	3.8590944	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase
CT270	pbp3	2353	0.2090199	0	0.0000000	20.9952089	penicillin-binding protein
CT271	NOT FOUND	1032	0.6094899	0	0.0000000	22.5391709	hypothetical protein
CT272	mraW	1990	0.3611585	2	0.0524917	2.7824709	S-adenosyl-methyltransferase MraW
CT273	NOT FOUND	3451	0.9739423	2	0.0835979	3.5422977	hypothetical protein
CT274	NOT FOUND	1031	0.4156166	3	0.1340393	1.6325972	hypothetical protein
CT275	dnaA	10169	1.2130421	2	0.0346491	5.1296679	chromosomal replication initiation protein
CT276	NOT FOUND	2028	0.5830513	2	0.0810257	2.8471713	hypothetical protein
CT277	NOT FOUND	839	0.2173380	4	0.0987773	1.1376890	hypothetical protein
CT278	nqr2	8756	0.8990276	2	0.0313492	4.8418649	Na( )-translocating NADH-quinone reductase subunit B
CT279	nqr3	2227	0.3676876	2	0.0342760	3.4232099	Na( )-translocating NADH-quinone reductase subunit C
CT280	nqr4	2001	0.4811370	2	0.0507734	3.2443030	Na( )-translocating NADH-quinone reductase subunit D
CT281	nqr5	2641	0.5835621	2	0.0443490	3.7179127	Na( )-translocating NADH-quinone reductase subunit E
